axis,tier_v2,agents_flagged,glioma_trials,withdrawn
ABCA1|APOE,1b_approved_withdrawn_only,ABCA1: PROBUCOL (appr 1977) [WITHDRAWN],,ABCA1: PROBUCOL
ABCA1|RIMS2,1b_approved_withdrawn_only,ABCA1: PROBUCOL (appr 1977) [WITHDRAWN],,ABCA1: PROBUCOL
ACTR2|LRP2,3_chembl_target_no_agent,,,
ADAM10|CD44,2_clinical,CD44: [clinical] BIVATUZUMAB (Ph2); BIVATUZUMAB MERTANSINE (Ph1),,
ADAM10|NRCAM,4_no_chembl_target,,,
ADAM10|TREM2,3_chembl_target_no_agent,,,
ADAM17|ERBB4,1_approved_available,ADAM17: [clinical] APRATASTAT | ERBB4: AFATINIB DIMALEATE; DACOMITINIB; DACOMITINIB ANHYDROUS; NERATINIB; NERATINIB MALEATE,"afatinib (6: NCT00977431, NCT05432518, NCT02465060) | neratinib (2: NCT04374305, NCT02977780)",
ALCAM|CD6,2_clinical,ALCAM: [clinical] PRALUZATAMAB RAVTANSINE | CD6: [clinical] ITOLIZUMAB; ONCOLYSIN CD6,,
ALCAM|CHL1,2_clinical,ALCAM: [clinical] PRALUZATAMAB RAVTANSINE,,
ANXA1|EGFR,1_approved_available,EGFR: AFATINIB DIMALEATE (appr 2013); BRIGATINIB (appr 2017); CETUXIMAB (appr 2004) [black-box]; DACOMITINIB (appr 2018); DACOMITINIB ANHYDROUS (appr 2018); ERLOTINIB HYDROCHLORIDE (appr 2004); GEFI,"afatinib (6: NCT00977431, NCT05432518, NCT02465060) | depatuxizumab (6: NCT02573324, NCT01800695, NCT03419403)",
ANXA1|GRM7,3_chembl_target_no_agent,,,
APLP2|HLA-A,3_chembl_target_no_agent,,,
APOE|LRP1,2_clinical,LRP1: [clinical] ANG1005,,
APOE|LRP2,4_no_chembl_target,,,
APOE|LRP4,4_no_chembl_target,,,
APOE|LRP6,3_chembl_target_no_agent,,,
APOE|SCARB1,3_chembl_target_no_agent,,,
APOE|SORL1,4_no_chembl_target,,,
APOE|TREM2,3_chembl_target_no_agent,,,
APOE|VLDLR,4_no_chembl_target,,,
APP|CD74,1_approved_available,APP: ADUCANUMAB (appr 2021) [black-box]; DONANEMAB (approved); LECANEMAB (appr 2023) [black-box] | CD74: [clinical] MILATUZUMAB (Ph2),,
APP|DCC,1_approved_available,APP: ADUCANUMAB (appr 2021) [black-box]; DONANEMAB (approved); LECANEMAB (appr 2023) [black-box],,
APP|LRP1,1_approved_available,APP: ADUCANUMAB (appr 2021) [black-box]; DONANEMAB (approved); LECANEMAB (appr 2023) [black-box] | LRP1: [clinical] ANG1005,,
ARPC5|LRP2,3_chembl_target_no_agent,,,
B2M|CD1C,3_chembl_target_no_agent,,,
B2M|KLRC1,2_clinical,KLRC1: [clinical] MONALIZUMAB,,
B2M|KLRC2,3_chembl_target_no_agent,,,
B2M|KLRD1,3_chembl_target_no_agent,,,
BCAN|EGFR,1_approved_available,EGFR: AFATINIB DIMALEATE (appr 2013); BRIGATINIB (appr 2017); CETUXIMAB (appr 2004) [black-box]; DACOMITINIB (appr 2018); DACOMITINIB ANHYDROUS (appr 2018); ERLOTINIB HYDROCHLORIDE (appr 2004); GEFI,"afatinib (6: NCT00977431, NCT05432518, NCT02465060) | depatuxizumab (6: NCT02573324, NCT01800695, NCT03419403)",
BCAN|NRCAM,4_no_chembl_target,,,
C1QB|C1QBP,3_chembl_target_no_agent,,,
C1QB|LRP1,2_clinical,LRP1: [clinical] ANG1005,,
