leiden,n_cells,label,top_panel,top_compartment,top_z,second_panel,second_compartment,second_z,margin,cross_compartment_tie
11,32603,ambiguous,tumor_gbm,malignant,0.5184627771377563,ependymal,neural,0.4775004982948303,0.040962278842926025,True
12,28727,t_cell,t_cell,immune,2.5355496406555176,nk_cell,immune,1.513346791267395,1.0222028493881226,False
31,27975,microglia,microglia,immune,1.0363459587097168,endothelial,vascular,0.46284347772598267,0.5735024809837341,False
45,27867,ependymal,ependymal,neural,1.4098966121673584,astrocyte,neural,1.408531665802002,0.0013649463653564453,False
0,24380,oligodendrocyte,oligodendrocyte,neural,3.6590280532836914,opc,neural,0.7541779279708862,2.9048500061035156,False
49,23324,astrocyte,astrocyte,neural,1.3864729404449463,neuron,neural,0.7759274840354919,0.6105454564094543,False
5,22532,opc,opc,neural,1.8484069108963013,neuron,neural,1.3092683553695679,0.5391385555267334,False
10,21869,ambiguous,opc,neural,1.2155812978744507,tumor_gbm,malignant,1.2007064819335938,0.014874815940856934,True
37,21419,macrophage,macrophage,immune,1.1454715728759766,endothelial,vascular,0.7348392605781555,0.41063231229782104,False
40,21343,macrophage,macrophage,immune,1.4724098443984985,endothelial,vascular,0.5087298154830933,0.9636800289154053,False
33,20584,microglia,microglia,immune,1.272817850112915,dc,immune,0.6415712833404541,0.6312465667724609,False
28,19409,microglia,microglia,immune,1.4498817920684814,neutrophil,immune,1.3553011417388916,0.09458065032958984,False
24,18810,microglia,microglia,immune,1.0821492671966553,macrophage,immune,0.7398339509963989,0.34231531620025635,False
3,17894,astrocyte,astrocyte,neural,1.543556809425354,tumor_gbm,malignant,1.2533494234085083,0.2902073860168457,False
30,17118,microglia,microglia,immune,0.3390350639820099,neutrophil,immune,0.29452210664749146,0.04451295733451843,False
52,17095,neuron,neuron,neural,1.2727094888687134,inhibitory_neuron,neural,0.7082341909408569,0.5644752979278564,False
26,13178,macrophage,macrophage,immune,1.1160974502563477,microglia,immune,0.8335662484169006,0.282531201839447,False
21,12910,macrophage,macrophage,immune,0.5043608546257019,neutrophil,immune,0.35821378231048584,0.14614707231521606,False
27,12804,neutrophil,neutrophil,immune,2.5472114086151123,endothelial,vascular,0.8460873961448669,1.7011239528656006,False
32,12280,microglia,microglia,immune,1.504179835319519,dc,immune,0.9743546843528748,0.5298251509666443,False
47,12141,macrophage,macrophage,immune,0.9379278421401978,neutrophil,immune,0.46628352999687195,0.4716443121433258,False
50,11593,neuron,neuron,neural,2.6733198165893555,inhibitory_neuron,neural,1.4440253973007202,1.2292944192886353,False
35,11365,macrophage,macrophage,immune,0.9774817228317261,microglia,immune,0.8736357092857361,0.10384601354598999,False
