pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|A2M|LRP1,True,True,0.85021454,0.8945464
immune|nerve|ACTR2|LDLR,True,True,0.74804884,0.82328314
immune|nerve|ACTR2|LRP2,True,True,0.85586095,0.9293755
immune|nerve|ADAM10|CADM1,True,True,0.89509314,0.89989346
immune|nerve|ADAM10|EPHA3,True,True,0.8326993,0.74287987
immune|nerve|ADAM10|IL6R,True,True,0.75957865,0.79676694
immune|nerve|ADAM10|MET,True,True,0.7801036,0.827512
immune|nerve|ADAM10|NOTCH1,True,True,0.83855736,0.76763403
immune|nerve|ADAM10|NOTCH2,True,True,0.8007035,0.7427214
immune|nerve|ADAM10|NRCAM,True,True,0.9012451,0.906478
immune|nerve|ADAM10|TSPAN14,True,True,0.7396066,0.7576657
immune|nerve|ADAM10|TSPAN15,True,True,0.7794554,0.85435903
immune|nerve|ADAM10|TSPAN5,True,True,0.87261313,0.8919076
immune|nerve|ADAM17|ERBB4,True,True,0.89231455,0.90627956
immune|nerve|ADAM17|IL6R,True,True,0.7461148,0.79233104
immune|nerve|ADAM17|ITGA5,True,True,0.72336006,0.71612805
immune|nerve|ADAM17|ITGB1,True,True,0.7988229,0.8640725
immune|nerve|ADAM17|MET,True,True,0.7674372,0.82359856
immune|nerve|ADAM17|NOTCH1,True,True,0.828518,0.7627516
immune|nerve|ADAM9|ITGA3,True,True,0.77310544,0.73615676
immune|nerve|ADAM9|ITGA6,True,True,0.77566296,0.63564533
immune|nerve|ADAM9|ITGAV,True,True,0.86453396,0.8464718
immune|nerve|ADAM9|ITGB1,True,True,0.8034847,0.86500514
immune|nerve|ADAM9|ITGB5,True,True,0.7229344,0.6901456
immune|nerve|ADM|CALCRL,True,True,0.71267533,0.77638406
immune|nerve|ADM|RAMP1,True,True,0.7298642,0.8010469
immune|nerve|ALCAM|CHL1,True,True,0.9005219,0.8997416
immune|nerve|ANGPTL4|CDH11,True,True,0.73503536,0.76360244
immune|nerve|ANGPTL4|ITGA5_ITGB1,True,True,0.57025695,0.6391195
immune|nerve|ANGPTL4|SDC2,True,True,0.60200727,0.62312365
immune|nerve|ANGPTL4|SDC3,True,True,0.6970046,0.69608384
immune|nerve|ANOS1|FGFR1,True,True,0.8379365,0.71942306
immune|nerve|ANOS1|SDC2,True,True,0.74229896,0.6128581
immune|nerve|ANXA1|DYSF,True,True,0.7252969,0.8788907
immune|nerve|ANXA1|EGFR,True,True,0.8850226,0.8819289
immune|nerve|ANXA1|GRM7,True,True,0.8731006,0.935319
immune|nerve|APOC1|VLDLR,True,True,0.7026184,0.8976705
immune|nerve|APOE|ABCA1,True,True,0.90293384,0.9570983
immune|nerve|APOE|LDLR,True,True,0.7966844,0.88692963
immune|nerve|APOE|LRP1,True,True,0.8698183,0.93448776
immune|nerve|APOE|LRP2,True,True,0.8868333,0.95681596
immune|nerve|APOE|LRP4,True,True,0.8622789,0.941529
immune|nerve|APOE|LRP5,True,True,0.81038547,0.8872437
immune|nerve|APOE|LRP6,True,True,0.8860219,0.951222
immune|nerve|APOE|LRP8,True,True,0.8565143,0.87022835
immune|nerve|APOE|SCARB1,True,True,0.8519441,0.92643017
immune|nerve|APOE|SDC2,True,True,0.8002326,0.8723217
immune|nerve|APOE|SORL1,True,True,0.8763053,0.94693005
immune|nerve|APOE|VLDLR,True,True,0.781339,0.9110028
immune|nerve|APP|DCC,True,True,0.88378584,0.87404925
immune|nerve|APP|LRP6,True,True,0.8539782,0.85708296
immune|nerve|APP|TSPAN15,True,True,0.768731,0.8358762
immune|nerve|ARF1|CHRM3,True,True,0.8174961,0.9190946
immune|nerve|ARF1|INSR,True,True,0.7887486,0.9166645
immune|nerve|ARF6|PLD1,True,True,0.75103164,0.9155695
immune|nerve|ARF6|SMAP1,True,True,0.6892966,0.86608946
immune|nerve|ARPC5|LDLR,True,True,0.67870146,0.8315629
immune|nerve|ARPC5|LRP2,True,True,0.80859506,0.9330885
immune|nerve|BSG|SLC16A1,True,True,0.6809776,0.80285275
immune|nerve|BSG|SLC16A7,True,True,0.69713724,0.8276074
immune|nerve|C1QB|LRP1,True,True,0.8027368,0.9271253
immune|nerve|C3|CD46,True,True,0.86435074,0.9115452
immune|nerve|C3|CD81,True,True,0.8279407,0.9368448
immune|nerve|C3|GRM7,True,True,0.9126314,0.9378828
immune|nerve|C3|LRP1,True,True,0.8739828,0.9067008
immune|nerve|C3|NRP1,True,True,0.86291414,0.8352219
immune|nerve|CALM1|CACNA1C,True,True,0.90288544,0.9425711
immune|nerve|CALM1|GRM3,True,True,0.87509894,0.94674486
immune|nerve|CALM1|GRM5,True,True,0.8936781,0.9411334
immune|nerve|CALM1|GRM7,True,True,0.8914922,0.9435586
immune|nerve|CALM1|INSR,True,True,0.87217396,0.9429768
immune|nerve|CALM1|KCNQ3,True,True,0.89874756,0.9389895
immune|nerve|CALM1|KCNQ5,True,True,0.8986304,0.94459015
immune|nerve|CALM1|PDE1A,True,True,0.86256295,0.9468159
immune|nerve|CALM1|PDE1C,True,True,0.88851154,0.95347047
immune|nerve|CALM1|PTPRA,True,True,0.88510686,0.94027823
immune|nerve|CALM1|RYR2,True,True,0.90605307,0.93951035
immune|nerve|CALM3|ADCY8,True,True,0.71998537,0.7766729
immune|nerve|CALM3|AR,True,True,0.63517755,0.8040917
immune|nerve|CALM3|CACNA1C,True,True,0.79959756,0.9081682
immune|nerve|CALM3|GRM5,True,True,0.7829517,0.9059552
immune|nerve|CALM3|GRM7,True,True,0.779052,0.9096906
immune|nerve|CALM3|INSR,True,True,0.745432,0.90879333
immune|nerve|CALM3|KCNQ3,True,True,0.7920723,0.90266263
immune|nerve|CALM3|KCNQ5,True,True,0.7918601,0.9112829
immune|nerve|CALM3|PDE1A,True,True,0.7292496,0.91472596
immune|nerve|CALM3|PDE1C,True,True,0.7737667,0.9250779
immune|nerve|CALM3|RYR2,True,True,0.80540806,0.9034617
immune|nerve|CALR|ITGA3,True,True,0.68509907,0.81654143
immune|nerve|CALR|ITGAV,True,True,0.80295146,0.897908
immune|nerve|CALR|LRP1,True,True,0.7657326,0.887724
immune|nerve|CCL5|GRM7,True,True,0.8857715,0.9517275
immune|nerve|CD14|ITGB1,True,True,0.7739767,0.92878354
immune|nerve|CD14|RIPK1,True,True,0.73274446,0.8854022
immune|nerve|CD47|SIRPA,True,True,0.785347,0.8003897
immune|nerve|CD55|ADGRE2,True,True,0.63727844,0.81303823
immune|nerve|CD55|ADGRE5,True,True,0.65291864,0.8415239
immune|nerve|CD96|NECTIN1,True,True,0.7868919,0.85776293
immune|nerve|CD99|CD81,True,True,0.74780625,0.9305819
immune|nerve|CD99|CD99L2,True,True,0.7560319,0.8794066
immune|nerve|CD99|PILRA,True,True,0.6797819,0.81219625
immune|nerve|CXCL16|GRM7,True,True,0.76439506,0.91801316
immune|nerve|CXCL8|GRM7,True,True,0.86852753,0.9383277
immune|nerve|CXCL8|SDC2,True,True,0.72448987,0.82426965
immune|nerve|CXCL8|SDC3,True,True,0.799966,0.86662453
immune|nerve|ENTPD1|ADORA1,True,True,0.7635863,0.8026078
immune|nerve|F13A1|ITGA9,True,True,0.79774225,0.7629664
immune|nerve|F13A1|ITGB1,True,True,0.78945214,0.8537225
immune|nerve|FAM3C|LAMP1,True,True,0.65481734,0.84228307
immune|nerve|FAM3C|LIFR,True,True,0.75187874,0.7973191
immune|nerve|FARP2|PLXNA2,True,True,0.7970226,0.6777697
immune|nerve|FARP2|PLXNA3,True,True,0.7000762,0.63654953
immune|nerve|FARP2|PLXNA4,True,True,0.82971174,0.72024965
immune|nerve|FN1|C5AR1,True,True,0.74959517,0.7669993
immune|nerve|FN1|CD44,True,True,0.83226424,0.8638362
immune|nerve|FN1|ITGA2,True,True,0.79413664,0.8886246
immune|nerve|FN1|ITGA3_ITGB1,True,True,0.71418476,0.78647727
immune|nerve|FN1|ITGA5_ITGB1,True,True,0.67389655,0.7704815
immune|nerve|FN1|ITGA6,True,True,0.7263091,0.69725186
immune|nerve|FN1|ITGA8_ITGB1,True,True,0.7126059,0.7951308
immune|nerve|FN1|ITGA9,True,True,0.76749885,0.8234855
immune|nerve|FN1|ITGAV_ITGB1,True,True,0.75834465,0.8756051
immune|nerve|FN1|ITGAV_ITGB8,True,True,0.82885295,0.8756051
immune|nerve|FN1|MAG,True,True,0.7996982,0.9332131
immune|nerve|FN1|SDC2,True,True,0.70199126,0.75810456
immune|nerve|GAS6|TYRO3,True,True,0.7319511,0.84573835
immune|nerve|GNAI2|ADCY1,True,True,0.76156694,0.8631621
immune|nerve|GNAI2|ADCY8,True,True,0.7967089,0.817623
immune|nerve|GNAI2|ADCY9,True,True,0.79498273,0.88883007
immune|nerve|GNAI2|ADORA1,True,True,0.66397697,0.865509
immune|nerve|GNAI2|C5AR1,True,True,0.73107994,0.8078683
immune|nerve|GNAI2|CAV1,True,True,0.70548093,0.89436543
immune|nerve|GNAI2|CNR1,True,True,0.7654255,0.83569884
immune|nerve|GNAI2|EGFR,True,True,0.85739654,0.8702545
immune|nerve|GNAI2|IGF1R,True,True,0.8282148,0.9342619
immune|nerve|GNAI2|UNC5B,True,True,0.7091337,0.8964629
immune|nerve|GNAS|ADCY1,True,True,0.8265203,0.8572388
immune|nerve|GNAS|ADCY8,True,True,0.8539251,0.810162
immune|nerve|GNAS|ADCY9,True,True,0.852595,0.8838684
immune|nerve|GNAS|ADORA1,True,True,0.7466722,0.85967076
immune|nerve|GPI|AMFR,True,True,0.7150198,0.8028722
immune|nerve|GRN|EGFR,True,True,0.8698888,0.8846358
immune|nerve|GRN|SORT1,True,True,0.8493597,0.94288415
immune|nerve|GRN|TNFRSF1A,True,True,0.70101535,0.8757666
immune|nerve|GSTO1|RYR1,True,True,0.581456,0.84204894
immune|nerve|GSTP1|EGFR,True,True,0.82245046,0.87993103
immune|nerve|HBEGF|CD44,True,True,0.7637174,0.86710346
immune|nerve|HBEGF|CD82,True,True,0.6350985,0.8796668
immune|nerve|HBEGF|CD9,True,True,0.6436645,0.9332369
immune|nerve|HLA-A|APLP2,True,True,0.87051564,0.93588424
immune|nerve|HSPA8|LDLR,True,True,0.68657565,0.8466674
immune|nerve|HSPA8|LRP2,True,True,0.8141576,0.9397484
immune|nerve|ICAM1|CAV1,True,True,0.68516046,0.84367794
immune|nerve|ICAM1|EGFR,True,True,0.8452585,0.81044966
immune|nerve|IGF1|IGF1R,True,True,0.800775,0.8510845
immune|nerve|IGF1|IGF2R,True,True,0.7071798,0.7406616
immune|nerve|IGF1|INSR,True,True,0.78817743,0.83780515
immune|nerve|IGF1|ITGA6_ITGB4,True,True,0.63648,0.5419196
immune|nerve|IL16|CD9,True,True,0.6483907,0.90372056
immune|nerve|IL16|GRIN2A,True,True,0.8098125,0.86107427
immune|nerve|IL16|GRIN2B,True,True,0.8031481,0.8508455
immune|nerve|IL16|KCND2,True,True,0.80512226,0.872534
immune|nerve|IL16|KCNJ10,True,True,0.63766664,0.8478507
immune|nerve|IL18|IL1RAPL1,True,True,0.9021352,0.9464689
immune|nerve|ITGAV|THY1,True,True,0.8205032,0.79938185
immune|nerve|ITGB2|THY1,True,True,0.7288419,0.8600171
immune|nerve|JAM2|ITGA3_ITGB1,True,True,0.5893271,0.5639606
immune|nerve|JAM2|ITGAV_ITGB1,True,True,0.6461301,0.7119525
immune|nerve|JAML|CXADR,True,True,0.71173567,0.8651406
immune|nerve|LGALS1|ITGB1,True,True,0.7225459,0.9396279
immune|nerve|LGALS3|MCAM,True,True,0.6666982,0.88563824
immune|nerve|LGALS8|ITGA3,True,True,0.65092796,0.6868706
immune|nerve|LGALS9|CD44,True,True,0.7896378,0.8544503
immune|nerve|LGALS9|CD47,True,True,0.7514524,0.90671754
immune|nerve|LGALS9|HAVCR2,True,True,0.6089048,0.814881
immune|nerve|LGALS9|LRP1,True,True,0.74826604,0.85825217
immune|nerve|LGALS9|MET,True,True,0.66363865,0.85183084
immune|nerve|LGALS9|MRC2,True,True,0.75869083,0.7804524
immune|nerve|LGALS9|PTPRK,True,True,0.8368749,0.9320668
immune|nerve|LPL|LRP1,True,True,0.7325683,0.77923185
immune|nerve|LPL|LRP2,True,True,0.76262677,0.8457402
immune|nerve|LPL|VLDLR,True,True,0.5943135,0.7169485
immune|nerve|NAMPT|INSR,True,True,0.8852198,0.94084257
immune|nerve|NAMPT|ITGA5_ITGB1,True,True,0.7643138,0.8415019
immune|nerve|NCAM1|CACNA1C,True,True,0.89940274,0.8707874
immune|nerve|NCAM1|FGFR1,True,True,0.84951717,0.77414626
immune|nerve|NCAM1|FGFR2,True,True,0.8800359,0.8931833
immune|nerve|NCAM1|NCAM2,True,True,0.9007949,0.9115357
immune|nerve|NCAM1|PTPRA,True,True,0.88107055,0.8660359
