immune_leiden,sample_id,n_cells
0,3182,42
0,3282,15
0,3295,530
0,BT346,1
0,BT363,4
0,BT364,7
0,BT368,6
0,BT389,113
0,BT390,13
0,BT397,315
0,BT402,196
0,BT407,45
0,BT409,16
0,C3N-00662,1
0,C3N-01798,5
0,C3N-01815,10
0,C3N-01816,39
0,C3N-02181,22
0,C3N-02188,37
0,C3N-02190,2
0,C3N-02769,12
0,C3N-02783,1
0,C3N-02784,31
0,C3N-03184,11
0,C3N-03186,1
0,C3N-03188,17
0,E10,4125
0,E37,782
0,E39,2190
0,E99,2225
0,E100,2399
0,G523,3
0,G549,2
0,G583,2
0,G620,85
0,G910,117
0,G946,142
0,G967,164
0,G983,71
0,G1003,22
0,GSM4141788,3
0,GSM4141790,4
0,JK124,1
0,JK136,4
0,JK142,6
0,LB3018T,58
0,LB3579T,59
0,LB3612T,58
0,LB3667T,384
0,LB3771T,22
0,LB3836T,77
0,LB3851T,105
0,LB3853T,116
0,LB3854T,45
0,LB3864T,267
0,LB3865T,95
0,LB3869T,91
0,LB3871T,57
0,LB3872T,143
0,LB3914T,564
0,LB3915T,120
0,LB3931T,34
0,LB3933T,32
0,LB3941T,54
0,LB3944T,364
0,LB3963T,49
0,LB4003T,80
0,LB4006T,77
0,LB4015T,17
0,LB4024T,24
0,LB4034T,170
0,LB4038T,1
0,LB4059T,122
0,LB4075T,141
0,LB4101T,21
0,LB4112T,103
0,LB4117T,50
0,LB4130T,7
0,LB4143T,70
0,LB4180T,37
0,MGH102,2
0,MGH105,9
0,MGH114,34
0,MGH115,19
0,MGH118,3
0,MGH124,4
0,MGH125,30
0,MGH126,23
0,ND1,13
0,ND2,68
0,ND3,6
0,ND4,505
0,ND5,32
0,ND6,2
0,ND7,493
0,ND8,573
0,P234_JAK,182
0,P294,691
0,P317,1060
0,P322,324
0,Patient_1,10
0,Patient_2,20
0,Patient_3,35
0,Patient_4,14
0,R1,2810
0,R2,973
0,R3,1421
0,R4,1434
0,R5,710
0,SF11159,1
0,SF11232,16
0,SF11247,16
0,SF11644,6
