cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,34831,E10,0.1184,23,5.1915,0.7007,True,True,True
1,3473,E99,0.1664,19,4.8801,0.6586,True,True,True
2,6052,C3N-01815,0.1436,21,4.9568,0.669,True,True,True
3,932,ndGBM-07,0.1674,15,4.3232,0.5835,True,True,True
4,3966,R4,0.0794,26,5.5744,0.7523,True,True,True
5,9568,E37,0.3378,14,3.6881,0.4978,True,True,True
6,967,E100,0.8304,3,1.1044,0.1491,False,True,False
7,5279,LB3914T,0.0782,26,5.3229,0.7184,True,True,True
8,19340,LB3915T,0.1307,28,5.6063,0.7567,True,True,True
9,20365,rGBM-01,0.1094,24,6.0363,0.8147,True,True,True
10,12559,rGBM-01,0.068,31,6.3034,0.8507,True,True,True
11,2107,rGBM-05,0.3251,8,3.4257,0.4623,True,True,True
12,17555,X192,0.0691,25,5.3774,0.7258,True,True,True
13,22857,LB4038T,0.1839,25,5.0068,0.6757,True,True,True
14,24586,ndGBM-11,0.144,19,4.8482,0.6543,True,True,True
15,11320,ND8,0.1472,20,5.0178,0.6772,True,True,True
16,38919,BT402,0.0776,29,6.0695,0.8192,True,True,True
17,14186,R5,0.1165,25,5.4957,0.7417,True,True,True
18,4058,R5,0.085,28,5.8487,0.7894,True,True,True
19,10479,LB3853T,0.1334,29,5.4083,0.7299,True,True,True
20,3725,R1,0.1672,21,5.0157,0.6769,True,True,True
21,7846,P322,0.4024,9,3.0037,0.4054,True,True,True
22,4895,ndGBM-10,0.9122,1,0.9303,0.1256,False,False,False
23,11153,G967,0.3517,14,4.0719,0.5496,True,True,True
24,4925,LB3933T,0.1525,20,4.9576,0.6691,True,True,True
25,1410,P234_JAK,0.6135,3,1.2537,0.1692,False,True,False
26,20345,C3N-02784,0.0917,23,5.2221,0.7048,True,True,True
27,3032,Patient_1,0.7243,3,2.0819,0.281,False,True,False
28,10925,LB3851T,0.2283,13,3.6137,0.4877,True,True,True
29,1135,Patient_4,0.6079,7,2.2336,0.3015,False,True,False
30,1681,R1,0.1553,17,4.7072,0.6353,True,True,True
31,4015,LB3963T,0.8809,6,0.9249,0.1248,False,True,False
32,442,ndGBM-07,0.2443,15,3.6364,0.4908,True,True,True
33,254,P234_JAK,0.3465,6,2.0665,0.2789,True,True,True
