cluster,label,top_markers,interpretation,score_neuron,score_excitatory_neuron,score_inhibitory_neuron,score_opc,score_oligodendrocyte,score_astrocyte,score_ependymal
0,c0 | oligodendrocyte | oligodendrocyte,"CNP, UBB, RNASE1, PTGDS, PLP1","Dominant oligodendrocyte (100% of 3264 cells); top markers CNP, UBB, RNASE1, PTGDS, PLP1; highest canonical score = oligodendrocyte (2.54).",-0.152228726611669,-0.08121122159946646,-0.027581951833555315,0.306813731457052,2.5388722538090995,0.4428358038124062,-0.03442624762709088
1,c1 | oligodendrocyte | oligodendrocyte,"CTNNA3, IL1RAPL1, NKAIN2, PCDH9, UNC5C","Dominant oligodendrocyte (100% of 2985 cells); top markers CTNNA3, IL1RAPL1, NKAIN2, PCDH9, UNC5C; highest canonical score = oligodendrocyte (1.50).",-0.0852001146906792,-0.05712181731882464,-0.02583778415466407,-0.19185790498232722,1.5001543748505217,-0.16860717046540385,0.004537772118845577
2,c2 | oligodendrocyte | oligodendrocyte,"CD63, CLU, S100B, PFN1, SELENOP","Dominant oligodendrocyte (100% of 2500 cells); top markers CD63, CLU, S100B, PFN1, SELENOP; highest canonical score = oligodendrocyte (2.18).",-0.18583460660709675,-0.11854568243234749,-0.03586073157787323,0.2653491292270422,2.18203212163798,0.5392794549965858,-0.04357924417757988
3,c3 | oligodendrocyte | oligodendrocyte,"TMTC2, ELMO1, NEAT1, DPYD, PTPRK","Dominant oligodendrocyte (100% of 2247 cells); top markers TMTC2, ELMO1, NEAT1, DPYD, PTPRK; highest canonical score = oligodendrocyte (0.80).",-0.10179985783216665,-0.0870087948528084,-0.03448832557226497,-0.25665230229331165,0.8020163927444665,-0.29153348312458305,0.005649515607116166
4,c4 | oligodendrocyte | oligodendrocyte,"RNF220, SLC5A11, ST18, LINC00609, ST6GALNAC3","Dominant oligodendrocyte (100% of 2151 cells); top markers RNF220, SLC5A11, ST18, LINC00609, ST6GALNAC3; highest canonical score = oligodendrocyte (1.50).",-0.10811154288626712,-0.06362143210136238,-0.03321583572772239,-0.1925644716032989,1.5043679083681245,-0.1505266117757279,0.022504112584016755
5,c5 | oligodendrocyte | oligodendrocyte,"PPP1R14A, CALM2, ACTB, S100B, TMSB4X","Dominant oligodendrocyte (100% of 1991 cells); top markers PPP1R14A, CALM2, ACTB, S100B, TMSB4X; highest canonical score = oligodendrocyte (2.48).",-0.14753479877083595,-0.08431344450159772,-0.02421401581911112,0.27464188935767464,2.480402892644573,0.6600920861932514,-0.027071778162647768
6,c6 | oligodendrocyte | oligodendrocyte,"ERBIN, TMTC2, NEAT1, PTPRK, SLC44A1","Dominant oligodendrocyte (100% of 1690 cells); top markers ERBIN, TMTC2, NEAT1, PTPRK, SLC44A1; highest canonical score = oligodendrocyte (1.33).",-0.08308555619047836,-0.06898844590904193,-0.02482354165534296,-0.061153762941882454,1.3347889518549692,0.11513794853630857,0.005585164384729059
7,c7 | oligodendrocyte | oligodendrocyte,"H3-3B, EIF1, B2M, MT2A, CD63","Dominant oligodendrocyte (100% of 1562 cells); top markers H3-3B, EIF1, B2M, MT2A, CD63; highest canonical score = oligodendrocyte (1.43).",-0.14344416082522807,-0.10107159318261624,-0.030519444188194505,-0.060237045589161896,1.4330602124838354,0.43637476004364395,-0.043429514883651314
8,c8 | excitatory_neuron | neuron,"CELF2, SYT1, MEG3, KCNIP4, NRG3","Dominant excitatory_neuron (100% of 1396 cells); top markers CELF2, SYT1, MEG3, KCNIP4, NRG3; highest canonical score = neuron (1.31).",1.3089739379489138,0.9926767862060586,-0.05982372822540651,-0.30722624857928654,-0.3235195610721337,-0.1943166564580021,0.07866136968520104
9,c9 | oligodendrocyte | oligodendrocyte,"RTN4, CLIC4, JAM3, MLF1, FOSB","Dominant oligodendrocyte (100% of 1125 cells); top markers RTN4, CLIC4, JAM3, MLF1, FOSB; highest canonical score = oligodendrocyte (1.82).",-0.2260521065999971,-0.1272234772716089,-0.044404886374650177,-0.11045515685107973,1.8155380034227724,0.3037247184891171,0.0012446856821907888
