cluster,names,gene_symbol,scores,logfoldchanges,pvals,pvals_adj,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
17,ENSG00000123560,PLP1,34.176975,3.9266372,5.316114110356952e-256,1.2784191212586398e-251,0.6072,12,0.3472,False
17,ENSG00000136541,ERMN,32.500023,3.4061944,1.0654265023772709e-231,1.2810688264584307e-227,0.6072,12,0.3472,False
17,ENSG00000080822,CLDND1,30.05936,2.8315969,1.6473921461325538e-198,1.3205495443398553e-194,0.6072,12,0.3472,False
17,ENSG00000116133,DHCR24,29.57298,3.7102125,3.326516710797419e-192,1.9999018465314082e-188,0.6072,12,0.3472,False
17,ENSG00000065534,MYLK,29.494263,3.0685806,3.41044739926194e-191,1.640288781149023e-187,0.6072,12,0.3472,False
17,ENSG00000011426,ANLN,29.483349,2.3548625,4.707095425877052e-191,1.8866038466915224e-187,0.6072,12,0.3472,False
17,ENSG00000139433,GLTP,29.139544,2.6192122,1.1334693117910385e-186,3.893952858564414e-183,0.6072,12,0.3472,False
17,ENSG00000250722,SELENOP,28.981041,3.2218084,1.1407342221646269e-184,3.4290470718268684e-181,0.6072,12,0.3472,False
17,ENSG00000104833,TUBB4A,28.9701,2.940292,1.5667923801211118e-184,4.1864692396836114e-181,0.6072,12,0.3472,False
17,ENSG00000138593,SECISBP2L,28.576807,2.2568574,1.3049967960980841e-179,3.138256295256672e-176,0.6072,12,0.3472,False
17,ENSG00000186318,BACE1,28.528938,2.5804281,5.127691330450457e-179,1.1210065555879327e-175,0.6072,12,0.3472,False
17,ENSG00000175130,MARCKSL1,28.36157,3.213605,6.0264562752821415e-177,1.2077018375665411e-173,0.6072,12,0.3472,False
17,ENSG00000179292,TMEM151A,27.970228,2.796322,3.742004611868996e-172,6.922132838940433e-169,0.6072,12,0.3472,False
17,ENSG00000132702,HAPLN2,27.865007,2.7500408,7.087069142153571e-171,1.2173559909322076e-167,0.6072,12,0.3472,False
17,ENSG00000148826,NKX6-2,27.764482,2.817232,1.1650883905423152e-169,1.8678697077174395e-166,0.6072,12,0.3472,False
17,ENSG00000129757,CDKN1C,27.664297,2.8558438,1.8783942902638404e-168,2.823226618266552e-165,0.6072,12,0.3472,False
17,ENSG00000169562,GJB1,27.524633,2.858672,8.906542804730341e-167,1.2599090668715013e-163,0.6072,12,0.3472,False
17,ENSG00000099194,SCD,27.461788,2.6912234,5.024438921049587e-166,6.712650398522247e-163,0.6072,12,0.3472,False
17,ENSG00000162734,PEA15,27.447462,2.7498517,7.449643405637758e-166,9.4288960325672e-163,0.6072,12,0.3472,False
17,ENSG00000174607,UGT8,27.29399,2.143333,4.998906923797722e-164,6.010685685174381e-161,0.6072,12,0.3472,False
17,ENSG00000143153,ATP1B1,27.274439,2.207714,8.528275853908376e-164,9.766094177847076e-161,0.6072,12,0.3472,False
17,ENSG00000160307,S100B,27.263487,3.335645,1.1500644688583769e-163,1.2571250157775567e-160,0.6072,12,0.3472,False
17,ENSG00000173786,CNP,27.182577,2.861567,1.0437365405624562e-162,1.0912946229324325e-159,0.6072,12,0.3472,False
17,ENSG00000105355,PLIN3,27.136044,2.7423394,3.7000231814213045e-162,3.7074232277841474e-159,0.6072,12,0.3472,False
17,ENSG00000091513,TF,27.097555,2.2250414,1.052180655120752e-161,1.0121136157737538e-158,0.6072,12,0.3472,False
17,ENSG00000101265,RASSF2,27.069433,2.4628723,2.2558914989254867e-161,2.0865261063907734e-158,0.6072,12,0.3472,False
17,ENSG00000167588,GPD1,27.06724,3.282268,2.394118549051053e-161,2.1323615876881373e-158,0.6072,12,0.3472,False
17,ENSG00000164106,SCRG1,27.053621,2.8838952,3.4625761271566934e-161,2.9738582394951488e-158,0.6072,12,0.3472,False
17,ENSG00000198835,GJC2,26.930874,3.0424457,9.556040949116057e-160,7.924264577391134e-157,0.6072,12,0.3472,False
17,ENSG00000167552,TUBA1A,26.890783,2.6830611,2.814953682173792e-159,2.2564668716305113e-156,0.6072,12,0.3472,False
17,ENSG00000136274,NACAD,26.790241,2.69709,4.198382805902235e-158,3.2568616037528044e-155,0.6072,12,0.3472,False
17,ENSG00000130962,PRRG1,26.774208,2.7650623,6.45414913433525e-158,4.850293074452941e-155,0.6072,12,0.3472,False
17,ENSG00000129968,ABHD17A,26.755852,2.5959392,1.0556116474688906e-157,7.692529969191479e-155,0.6072,12,0.3472,False
17,ENSG00000105695,MAG,26.715292,2.6011302,3.1269035494350665e-157,2.211640486965132e-154,0.6072,12,0.3472,False
17,ENSG00000149557,FEZ1,26.636942,2.258397,2.5355887395178815e-156,1.7421668002264574e-153,0.6072,12,0.3472,False
17,ENSG00000066322,ELOVL1,26.610538,2.605422,5.126262540397175e-156,3.424343376985313e-153,0.6072,12,0.3472,False
17,ENSG00000126803,HSPA2,26.606852,2.6982317,5.655507921397468e-156,3.6757744457774684e-153,0.6072,12,0.3472,False
17,ENSG00000015592,STMN4,26.59257,2.6791844,8.27356710648374e-156,5.235861625703185e-153,0.6072,12,0.3472,False
17,ENSG00000123095,BHLHE41,26.58949,2.6454263,8.980335169217831e-156,5.537412824342318e-153,0.6072,12,0.3472,False
17,ENSG00000100399,CHADL,26.581457,2.564912,1.1121922348135908e-155,6.686499715699308e-153,0.6072,12,0.3472,False
17,ENSG00000170915,PAQR8,26.543001,2.4860914,3.093307445579466e-155,1.814337986616951e-152,0.6072,12,0.3472,False
17,ENSG00000167614,TTYH1,26.531984,2.520012,4.1455323190745044e-155,2.3736133621215165e-152,0.6072,12,0.3472,False
17,ENSG00000177807,KCNJ10,26.45821,2.4880815,2.9355060491550062e-154,1.6416988248855714e-151,0.6072,12,0.3472,False
17,ENSG00000196361,ELAVL3,26.378601,2.1866207,2.411927705433778e-153,1.3182281240970797e-150,0.6072,12,0.3472,False
17,ENSG00000166963,MAP1A,26.298635,2.4782333,1.9879259169620552e-152,1.0623476100245225e-149,0.6072,12,0.3472,False
17,ENSG00000021300,PLEKHB1,26.250008,2.5047817,7.14630428609685e-152,3.735963597218632e-149,0.6072,12,0.3472,False
17,ENSG00000046653,GPM6B,26.13051,1.630765,1.6414926075445683e-150,8.39885409068761e-148,0.6072,12,0.3472,False
17,ENSG00000130294,KIF1A,25.964027,2.2903693,1.2626789577475022e-148,6.326021578314986e-146,0.6072,12,0.3472,False
17,ENSG00000121653,MAPK8IP1,25.871626,2.3969386,1.3896956877505105e-147,6.820286101841689e-145,0.6072,12,0.3472,False
17,ENSG00000105290,APLP1,25.869982,2.5978513,1.4501476604598742e-147,6.974630187747811e-145,0.6072,12,0.3472,False
5,ENSG00000167641,PPP1R14A,56.085136,3.4914746,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000143933,CALM2,55.736256,3.2553456,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000075624,ACTB,54.901443,2.924712,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000160307,S100B,53.15731,3.293157,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000205542,TMSB4X,52.386,3.263277,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000118785,SPP1,51.90919,2.78604,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000189058,APOD,51.862022,3.030262,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000080822,CLDND1,51.843174,2.5640254,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000243449,NICOL1,51.728558,2.9547575,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000107317,PTGDS,51.7173,2.9886484,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000173786,CNP,49.8365,2.704267,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000175130,MARCKSL1,49.787697,2.9335837,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000123560,PLP1,49.507275,3.0306933,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000115268,RPS15,49.220898,3.01829,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000117632,STMN1,48.87545,2.6522994,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000170315,UBB,48.774147,2.9968739,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000142541,RPL13A,48.15389,3.0162747,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000124172,ATP5F1E,47.847027,2.6612475,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000111640,GAPDH,47.341373,2.7700024,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000105290,APLP1,47.299156,2.4464014,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000087086,FTL,47.181347,3.0870771,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000250722,SELENOP,47.13598,2.6841753,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000147403,RPL10,47.021442,2.9376593,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000125534,PPDPF,46.778687,2.7418725,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000122026,RPL21,46.61673,3.0113096,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000109475,RPL34,46.610676,2.919422,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000167996,FTH1,46.60751,3.2707603,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000169020,ATP5ME,46.351814,2.6769536,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000105254,TBCB,46.1776,2.3619657,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000164587,RPS14,46.146408,2.8393185,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000229117,RPL41,46.0601,2.8638942,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000214253,FIS1,46.050854,2.4479227,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000233927,RPS28,45.610058,2.799213,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000197971,MBP,45.33985,1.8470836,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000167526,RPL13,45.304108,2.643729,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000187514,PTMA,45.277092,2.768964,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000135940,COX5B,45.205902,2.4708652,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000144713,RPL32,45.16132,2.8070402,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000108107,RPL28,45.079464,2.6626992,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000143947,RPS27A,44.98747,2.799271,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000105372,RPS19,44.909374,2.6545534,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000170889,RPS9,44.769814,2.6551402,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000109846,CRYAB,44.753757,3.2571023,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000117691,NENF,44.747288,2.4027066,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000108298,RPL19,44.424866,2.7584941,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000137818,RPLP1,44.326084,2.7272613,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000112306,RPS12,44.190712,2.793893,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000149557,FEZ1,44.12216,1.9828339,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000177954,RPS27,43.928036,2.852746,0.0,0.0,0.226,19,0.6259,True
5,ENSG00000240972,MIF,43.809338,2.8351514,0.0,0.0,0.226,19,0.6259,True
0,ENSG00000173786,CNP,74.36396,3.1979651,0.0,0.0,0.4029,19,0.5772,True
0,ENSG00000170315,UBB,70.84345,3.5299673,0.0,0.0,0.4029,19,0.5772,True
