cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,3264,G983,0.4029,19,4.109,0.5772,True,True,True
1,2985,SF9259R,0.1983,17,4.0166,0.5642,True,True,True
2,2500,JK142,0.25,13,4.0332,0.5666,True,True,True
3,2247,SF6996,0.3912,13,3.2804,0.4608,True,True,True
4,2151,C3N-01815,0.1409,18,4.2618,0.5987,True,True,True
5,1991,BT390,0.226,19,4.4557,0.6259,True,True,True
6,1690,G523,0.2107,18,4.4481,0.6248,True,True,True
7,1562,G983,0.1793,26,5.0348,0.7072,True,True,True
8,1396,C3N-03186,0.3603,9,2.6294,0.3694,True,True,True
9,1125,X194,0.8791,5,1.0294,0.1446,False,True,False
10,1081,G837,0.2572,14,3.9373,0.5531,True,True,True
11,1061,SF9259R,0.1876,18,4.2541,0.5976,True,True,True
12,1058,X194,0.8072,7,1.4327,0.2013,False,True,False
13,1036,C3N-02783,0.9595,1,0.4074,0.0572,False,False,False
14,910,C3L-03968,0.4198,6,2.56,0.3596,True,True,True
15,723,C3N-02783,0.9903,1,0.1059,0.0149,False,False,False
16,676,G549,0.3624,10,2.731,0.3836,True,True,True
17,471,SM018,0.6072,12,2.4719,0.3472,False,True,False
18,383,C3N-03188,0.1828,17,4.0115,0.5635,True,True,True
19,244,X194,0.9467,4,0.3842,0.054,False,True,False
20,164,X194,0.3415,15,3.6999,0.5197,True,True,True
21,86,BT368,0.8488,6,0.8698,0.1222,False,True,False
22,66,SF6996,0.2879,24,3.3939,0.4767,True,True,True
23,48,MGH114,0.8542,2,0.5993,0.0842,False,False,False
24,18,JK142,1.0,1,-0.0,-0.0,False,False,False
neuron,4240,C3N-02783,0.4,10,3.0388,0.5084,True,True,True
