cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,4746,SF9259R,0.1228,21,4.4516,0.6253,True,True,True
1,4487,G983,0.2514,19,4.6984,0.66,True,True,True
2,3772,SF6996,0.1609,21,4.9347,0.6932,True,True,True
3,2283,X194,0.2659,13,4.0256,0.5655,True,True,True
4,2263,X194,0.1958,21,4.6607,0.6547,True,True,True
5,1821,X194,0.2416,19,4.747,0.6668,True,True,True
6,1754,C3N-02783,0.4219,6,2.8179,0.3958,True,True,True
7,1475,SM018,0.0983,23,5.1186,0.719,True,True,True
8,1381,C3N-01815,0.1731,17,4.2719,0.6001,True,True,True
9,1373,C3N-03186,0.3642,8,2.5676,0.3607,True,True,True
10,833,C3N-02783,0.4994,11,3.1528,0.4429,True,True,True
11,576,C3N-02783,0.9653,1,0.3524,0.0495,False,False,False
12,477,X194,0.891,4,0.9028,0.1268,False,True,False
13,460,SF9259R,0.1522,22,4.4098,0.6194,True,True,True
14,361,G549,0.3934,9,2.5161,0.3534,True,True,True
15,340,X194,0.1235,28,5.4929,0.7716,True,True,True
16,300,G549,0.3267,9,2.7697,0.3891,True,True,True
17,190,X194,0.3211,18,3.601,0.5058,True,True,True
18,24,G523,1.0,1,-0.0,-0.0,False,False,False
19,20,SF6996,0.95,2,0.2864,0.0402,False,False,False
