cluster,gene_set_library,Term,Adjusted P-value,Overlap,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
17,GO_Biological_Process_2024,GOBP_ONE_CARBON_COMPOUND_TRANSPORT,0.0014744316904118,2/28,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,0.001965908920549,16/24,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,0.0045871208146145,64/76,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.0114022717391847,75/101,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,0.0130241465986377,43/51,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_ATP_BIOSYNTHETIC_PROCESS,0.0265397704274127,73/99,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM,0.0410383487164623,13/26,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_OXIDATIVE_PHOSPHORYLATION,0.0428287300548195,99/147,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_RESPONSE_TO_INTERLEUKIN_7,0.0714607892619596,10/17,0.6072,12,0.3472,False
17,GO_Biological_Process_2024,GOBP_REGULATION_OF_PROTON_TRANSPORT,0.0756874934411401,10/17,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_GLUTAMATE_RECEPTOR_ACTIVITY,0.0,15/26,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY,0.0009585930842004,2/24,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0019171861684008,57/68,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,0.002396482710501,42/58,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,0.002396482710501,38/41,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,0.0127355938329486,12/17,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.0134203031788061,91/186,0.6072,12,0.3472,False
17,GO_Molecular_Function_2024,GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM,0.0134203031788061,14/18,0.6072,12,0.3472,False
