source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
immune_microglia,nerve_c19,APOE,ABCA1,2.9904094,0.0,8.152261,1.3400402284992077,2.8440586523581226,0.052221373,0.9634624,0.0096371093731313,3.14036322943915e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c19,microglia,0.9467,4.0,0.054,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c9,APOE,ABCA1,2.9004765,0.0,7.45449,1.2334820836606104,2.5365990240958864,0.047751624,0.9618544,0.0152840195976576,3.79968923651128e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,microglia,0.8791,5.0,0.1446,False,0.0187,44.0,0.9088,True,False
immune_tam,nerve_c2,TIMP1,CD63,2.7334247,0.0,7.391044,1.2835052504042974,2.033205196261341,0.04071287,0.9616973,0.0320452461470498,1.4735483599578569e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c2,tam,0.25,13.0,0.5666,True,0.1165,25.0,0.7417,True,True
immune_tam,nerve_c7,TIMP1,CD63,2.7110963,0.0,7.281653,1.266152678402612,2.0445587389762414,0.040110298,0.96142167,0.0338389689362403,1.565582022517999e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c7,tam,0.1793,26.0,0.7072,True,0.1165,25.0,0.7417,True,True
immune_microglia,nerve_c12,APOE,ABCA1,2.7088275,0.0,5.9675283,1.0064057503978374,2.2240318955994827,0.03822652,0.9575565,0.0414865177175471,1.8078511939488565e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,microglia,0.8072,7.0,0.2013,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c3,APOE,ABCA1,2.6917667,0.0,5.8351564,0.9861912948160804,2.402546530931327,0.037378572,0.9570983,0.0432774260187414,2.0675242058355383e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,microglia,0.3912,13.0,0.4608,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c3,APOE,LRP2,2.6815262,0.0,5.7557015,3.0489755594527352,2.899795916919161,0.040726777,0.95681596,1.2730884456778432e-05,2.1762658461779045e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,microglia,0.3912,13.0,0.4608,True,0.0187,44.0,0.9088,True,True
immune_microglia,nerve_c19,APOE,LRP2,2.663127,0.0,5.612946,2.9814329481796396,2.9616522102382,0.039716654,0.95629406,2.8117397943577652e-05,2.5191922935428017e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c19,microglia,0.9467,4.0,0.054,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c15,APOE,LRP6,2.6457486,0.0,5.4781113,1.7599105402868354,2.5694424528921997,0.051372487,0.9557831,0.0104506966586985,3.080547048571871e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,microglia,0.9903,1.0,0.0149,False,0.0187,44.0,0.9088,True,False
immune_microglia,nerve_c9,APOE,LRP2,2.6384969,0.0,5.421848,2.8910146433073507,2.7743089271516297,0.038364463,0.95556444,7.029477236172512e-05,3.416756132125423e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,microglia,0.8791,5.0,0.1446,False,0.0187,44.0,0.9088,True,False
