source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c17,immune_dendritic,APP,CD74,3.4108686,0.0,10.511825,1.4822399262452444,1.7164192085566872,0.016709656,0.9676825,0.055996110076105,3.490621419203905e-09,nerve,immune,immune-nerve,nerve_to_immune,nerve_c17,dendritic,0.6072,12.0,0.3472,False,0.0815,25.0,0.7859,True,False
nerve_c9,immune_dendritic,APP,CD74,3.4054587,0.0,10.463456,1.4762443132038534,1.743411595424905,0.016632767,0.9676103,0.0567658718410939,1.3962302356686484e-08,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,dendritic,0.8791,5.0,0.1446,False,0.0815,25.0,0.7859,True,False
nerve_c12,immune_dendritic,APP,CD74,3.3984036,0.0,10.40038,1.468424717058597,1.7259538710847413,0.016532501,0.9675154,0.0587115373919711,3.141476589792106e-08,nerve,immune,immune-nerve,nerve_to_immune,nerve_c12,dendritic,0.8072,7.0,0.2013,False,0.0815,25.0,0.7859,True,False
nerve_c2,immune_dendritic,APP,CD74,3.3210688,0.0,9.708975,1.3827132341385735,1.659987016328888,0.015433441,0.96641684,0.0752586948594587,5.5847742865712825e-08,nerve,immune,immune-nerve,nerve_to_immune,nerve_c2,dendritic,0.25,13.0,0.5666,True,0.0815,25.0,0.7859,True,True
nerve_c19,immune_dendritic,APP,CD74,3.3091722,0.0,9.602613,1.3695279563900902,1.7428037019821052,0.015264368,0.9662376,0.0785135574066836,8.726094280558543e-08,nerve,immune,immune-nerve,nerve_to_immune,nerve_c19,dendritic,0.9467,4.0,0.054,False,0.0815,25.0,0.7859,True,False
nerve_c3,immune_dendritic,APP,CD74,3.2934704,0.0,9.4622345,1.3521239958068625,1.658862474153949,0.01504122,0.96599656,0.0827976559787934,1.2565411394865465e-07,nerve,immune,immune-nerve,nerve_to_immune,nerve_c3,dendritic,0.3912,13.0,0.4608,True,0.0815,25.0,0.7859,True,True
nerve_c11,immune_dendritic,APP,CD74,3.2848113,0.0,9.384818,1.342527219095563,1.707859159758397,0.014918159,0.9658614,0.0854693866426336,1.7102695294605996e-07,nerve,immune,immune-nerve,nerve_to_immune,nerve_c11,dendritic,0.1876,18.0,0.5976,True,0.0815,25.0,0.7859,True,True
nerve_c0,immune_dendritic,APP,CD74,3.2822936,0.0,9.3623085,1.3397369435980222,1.6811216660593216,0.014882377,0.96582174,0.0865072078014784,2.233792389745864e-07,nerve,immune,immune-nerve,nerve_to_immune,nerve_c0,dendritic,0.4029,19.0,0.5772,True,0.0815,25.0,0.7859,True,True
nerve_c1,immune_dendritic,APP,CD74,3.2268856,0.0,8.866938,1.2783251043027437,1.6267037174133598,0.014094933,0.9649131,0.1037065992119105,5.02576858650382e-07,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,dendritic,0.1983,17.0,0.5642,True,0.0815,25.0,0.7859,True,True
nerve_c7,immune_nk_cell,B2M,KLRD1,3.196261,0.0,8.614489,2.915843904840718,1.924633837519419,0.0714276,0.9644208,0.0016927494110091,5.898220178767766e-07,nerve,immune,immune-nerve,nerve_to_immune,nerve_c7,nk_cell,0.1793,26.0,0.7072,True,0.0794,26.0,0.7523,True,True
