source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
malignant,nerve_c13,PTN,PTPRZ1,2.8857405,0.0,7.9789553,0.4985369442027434,1.477715539827248,0.20575838,0.958037,0.0196684719973873,5.32680960108087e-08,malignant_to_nerve,nerve_c13,0.9595,1,0.0572,False
malignant,nerve_c15,PTN,PTPRZ1,2.8772821,0.0,7.9401255,0.4924968161795657,1.4170795117635726,0.20475705,0.95793885,0.0196684719973873,2.130614550123918e-07,malignant_to_nerve,nerve_c15,0.9903,1,0.0149,False
nerve_c1,malignant,NCAM1,PTPRZ1,2.4525394,0.0,6.014182,0.6702565173106255,1.6336397419052475,0.06624243,0.9519721,0.0946862332616975,4.793636834584848e-07,nerve_to_malignant,nerve_c1,0.1983,17,0.5642,True
nerve_c11,malignant,NCAM1,PTPRZ1,2.4250228,0.0,5.880736,0.6446280432459708,1.630846290695913,0.0647726,0.9514566,0.1105256795135926,8.521583878028233e-07,nerve_to_malignant,nerve_c11,0.1876,18,0.5976,True
nerve_c19,malignant,NCAM1,PTPRZ1,2.4193575,0.0,5.853261,0.6393511919316165,1.615637659170299,0.06446998,0.9513483,0.1143281861789673,2.6093332797752955e-06,nerve_to_malignant,nerve_c19,0.9467,4,0.054,False
nerve_c4,malignant,NCAM1,PTPRZ1,2.3746262,0.0,5.6363277,0.5976883898564592,1.5393805515843753,0.062080596,0.9504668,0.1413393849473916,3.4079340932373436e-06,nerve_to_malignant,nerve_c4,0.1409,18,0.5987,True
nerve_c14,malignant,NCAM1,PTPRZ1,2.3478508,0.0,5.506475,0.5727489572792496,1.690108685319126,0.060650352,0.9499153,0.1653019510859176,4.3129454551205185e-06,nerve_to_malignant,nerve_c14,0.4198,6,0.3596,True
nerve_c3,malignant,NCAM1,PTPRZ1,2.3445215,0.0,5.4903293,0.5696474587543501,1.471113236681328,0.060472514,0.9498454,0.1691718278035923,5.324350166413163e-06,nerve_to_malignant,nerve_c3,0.3912,13,0.4608,True
nerve_c15,malignant,NCAM1,PTPRZ1,2.335961,0.0,5.4488144,0.5616755068157151,1.457249868079112,0.060015254,0.9496643,0.1792636568741069,6.442133363994485e-06,nerve_to_malignant,nerve_c15,0.9903,1,0.0149,False
nerve_c12,malignant,NCAM1,PTPRZ1,2.3005252,0.0,5.2769613,0.5286703896305834,1.3736468168164149,0.058122404,0.9488928,0.2167877403895166,1.043358446182592e-05,nerve_to_malignant,nerve_c12,0.8072,7,0.2013,False
nerve_c10,malignant,NCAM1,PTPRZ1,2.2840796,0.0,5.1972046,0.5133520242532729,1.5467105884524002,0.057243932,0.9485222,0.2366571519271905,1.5381846129603584e-05,nerve_to_malignant,nerve_c10,0.2572,14,0.5531,True
malignant,nerve_c14,PTN,PTPRZ1,2.2386844,0.007,5.0084953,0.0364667107801927,0.6741661464479076,0.12915725,0.94761175,0.4072033868087318,2.3467130560238975e-05,malignant_to_nerve,nerve_c14,0.4198,6,0.3596,True
nerve_c13,malignant,PTN,PTPRZ1,2.232089,0.371,4.945068,0.0302363834086498,0.9212396833606472,0.07360917,0.9472945,0.9461558071349836,2.5753986916676334e-05,nerve_to_malignant,nerve_c13,0.9595,1,0.0572,False
nerve_c15,malignant,PTN,PTPRZ1,2.220399,0.447,4.8883743,0.0217501177197865,1.1616325105016232,0.07276527,0.94700587,0.8205148737697935,3.064622635207389e-05,nerve_to_malignant,nerve_c15,0.9903,1,0.0149,False
malignant,nerve_c13,NCAM1,PTPRZ1,2.2949064,0.0,3.8713393,0.4092217439522764,0.1223119271230566,0.20575838,0.94083816,0.2380947917709082,3.325157664392296e-05,malignant_to_nerve,nerve_c13,0.9595,1,0.0572,False
