leiden,n_cells,label,top_panel,top_compartment,top_z,second_panel,second_compartment,second_z,margin,cross_compartment_tie
1,42703,tumor_gbm,tumor_gbm,malignant,0.5416465997695923,ependymal,neural,0.16548246145248413,0.37616413831710815,False
5,39852,t_cell,t_cell,immune,2.820485830307007,nk_cell,immune,2.0195510387420654,0.8009347915649414,False
23,39612,microglia,microglia,immune,1.7305678129196167,dc,immune,1.0392258167266846,0.6913419961929321,False
26,36016,microglia,microglia,immune,0.7499299645423889,macrophage,immune,0.554775059223175,0.19515490531921387,False
38,35918,macrophage,macrophage,immune,0.29508745670318604,neutrophil,immune,0.2506522238254547,0.04443523287773132,False
60,35796,ependymal,ependymal,neural,1.8173696994781494,astrocyte,neural,1.4266031980514526,0.3907665014266968,False
20,33959,macrophage,macrophage,immune,1.331653356552124,endothelial,vascular,0.5911532044410706,0.7405001521110535,False
0,33245,oligodendrocyte,oligodendrocyte,neural,3.910693407058716,opc,neural,0.7171971797943115,3.1934962272644043,False
56,32532,tumor_gbm,tumor_gbm,malignant,1.3271018266677856,astrocyte,neural,0.8876307010650635,0.43947112560272217,False
7,31054,macrophage,macrophage,immune,0.6326558589935303,endothelial,vascular,0.38473156094551086,0.2479242980480194,False
15,30416,microglia,microglia,immune,1.197167992591858,neutrophil,immune,1.1731204986572266,0.024047493934631348,False
50,28386,neuron,neuron,neural,1.0462487936019897,astrocyte,neural,1.0193367004394531,0.02691209316253662,False
21,28355,macrophage,macrophage,immune,0.8643133640289307,endothelial,vascular,0.6295308470726013,0.23478251695632935,False
41,25248,opc,opc,neural,2.1238653659820557,tumor_gbm,malignant,1.0040972232818604,1.1197681427001953,False
45,25103,opc,opc,neural,1.935243844985962,neuron,neural,1.1191846132278442,0.8160592317581177,False
54,24633,astrocyte,astrocyte,neural,2.508133888244629,tumor_gbm,malignant,1.434831976890564,1.073301911354065,False
49,23354,neuron,neuron,neural,1.6871459484100342,inhibitory_neuron,neural,0.9545015692710876,0.7326443791389465,False
16,23203,neutrophil,neutrophil,immune,2.327130079269409,endothelial,vascular,0.7313600778579712,1.595770001411438,False
10,23102,t_cell,t_cell,immune,1.953390121459961,b_plasma,immune,0.3979055881500244,1.5554845333099365,False
18,20612,microglia,microglia,immune,1.0484830141067505,neutrophil,immune,0.531882643699646,0.5166003704071045,False
29,19832,macrophage,macrophage,immune,0.8111168146133423,microglia,immune,0.7368452548980713,0.074271559715271,False
33,19613,microglia,microglia,immune,1.2713189125061035,neutrophil,immune,0.6810644865036011,0.5902544260025024,False
11,18500,t_cell,t_cell,immune,3.15600323677063,nk_cell,immune,2.174978494644165,0.9810247421264648,False
13,18312,neutrophil,neutrophil,immune,0.5364558696746826,macrophage,immune,0.45990440249443054,0.07655146718025208,False
46,18086,astrocyte,astrocyte,neural,1.145672082901001,neuron,neural,0.9899503588676453,0.1557217240333557,False
34,17902,macrophage,macrophage,immune,1.4450840950012207,neutrophil,immune,1.1659244298934937,0.27915966510772705,False
31,17900,microglia,microglia,immune,0.977063775062561,neutrophil,immune,0.8514297008514404,0.1256340742111206,False
25,17620,microglia,microglia,immune,0.7573828101158142,dc,immune,0.6936613917350769,0.0637214183807373,False
44,17216,neuron,neuron,neural,1.2885501384735107,tumor_gbm,malignant,0.6017886400222778,0.6867614984512329,False
27,16989,macrophage,macrophage,immune,1.9937797784805298,endothelial,vascular,0.9933339357376099,1.00044584274292,False
30,16154,macrophage,macrophage,immune,0.9451596140861511,microglia,immune,0.7872774004936218,0.1578822135925293,False
42,15893,tumor_gbm,tumor_gbm,malignant,1.6736479997634888,opc,neural,1.0775914192199707,0.5960565805435181,False
55,15870,neuron,neuron,neural,2.7676875591278076,inhibitory_neuron,neural,1.5674972534179688,1.2001903057098389,False
12,14138,microglia,microglia,immune,1.0391106605529785,macrophage,immune,0.533801794052124,0.5053088665008545,False
39,13511,astrocyte,astrocyte,neural,1.2030253410339355,opc,neural,0.734686017036438,0.46833932399749756,False
17,13039,macrophage,macrophage,immune,1.1888164281845093,endothelial,vascular,0.8631470203399658,0.32566940784454346,False
53,11498,tumor_gbm,tumor_gbm,malignant,1.255829095840454,astrocyte,neural,1.1525614261627197,0.10326766967773438,False
4,10670,t_cell,t_cell,immune,0.6455922722816467,nk_cell,immune,0.4977112412452698,0.14788103103637695,False
36,9718,nk_cell,nk_cell,immune,1.1958990097045898,microglia,immune,0.39302247762680054,0.8028765320777893,False
2,7428,oligodendrocyte,oligodendrocyte,neural,1.5099211931228638,neuron,neural,1.3187549114227295,0.19116628170013428,False
48,6707,macrophage,macrophage,immune,1.079827904701233,tumor_gbm,malignant,0.25428178906440735,0.825546145439148,False
3,6322,nk_cell,nk_cell,immune,5.9508185386657715,b_plasma,immune,0.3403239846229553,5.610494613647461,False
68,5276,neutrophil,neutrophil,immune,5.186512470245361,microglia,immune,0.6653561592102051,4.521156311035156,False
6,4984,t_cell,t_cell,immune,2.4832561016082764,nk_cell,immune,1.604660987854004,0.8785951137542725,False
9,4926,t_cell,t_cell,immune,1.1732783317565918,nk_cell,immune,0.7961591482162476,0.37711918354034424,False
59,4763,ambiguous,tumor_gbm,malignant,0.12315408140420914,inhibitory_neuron,neural,0.09646270424127579,0.02669137716293335,True
40,4750,mural,mural,vascular,9.59731388092041,opc,neural,0.1768314689397812,9.420482635498047,False
35,4375,endothelial,endothelial,vascular,5.831830024719238,mural,vascular,1.7713837623596191,4.060446262359619,False
22,4298,macrophage,macrophage,immune,0.9599114060401917,microglia,immune,0.655979573726654,0.3039318323135376,False
37,4028,dc,dc,immune,3.198204517364502,microglia,immune,0.5639445185661316,2.6342599391937256,False
51,3030,neuron,neuron,neural,0.9167794585227966,inhibitory_neuron,neural,0.4666444659233093,0.4501349925994873,False
62,2849,opc,opc,neural,3.184178113937378,mast,immune,2.1816155910491943,1.0025625228881836,False
73,2466,excitatory_neuron,excitatory_neuron,neural,6.707033634185791,neuron,neural,4.898678779602051,1.8083548545837402,False
72,2409,ambiguous,tumor_gbm,malignant,0.16348008811473846,neuron,neural,0.13779005408287048,0.02569003403186798,True
65,2260,b_plasma,b_plasma,immune,12.739558219909668,mast,immune,0.02781444974243641,12.711743354797363,False
74,2204,inhibitory_neuron,inhibitory_neuron,neural,2.4235339164733887,neuron,neural,1.6318851709365845,0.7916487455368042,False
19,2035,macrophage,macrophage,immune,1.8655848503112793,endothelial,vascular,0.6234698295593262,1.2421150207519531,False
64,1967,b_plasma,b_plasma,immune,8.796900749206543,endothelial,vascular,0.2577672600746155,8.539133071899414,False
71,1964,ependymal,ependymal,neural,3.3480453491210938,neuron,neural,1.6358765363693237,1.71216881275177,False
24,1907,neutrophil,neutrophil,immune,0.7604305148124695,endothelial,vascular,0.6203209161758423,0.1401095986366272,False
52,1790,microglia,microglia,immune,1.7939566373825073,dc,immune,0.9165634512901306,0.8773931860923767,False
57,1726,oligodendrocyte,oligodendrocyte,neural,2.055027484893799,opc,neural,0.6422874927520752,1.4127399921417236,False
66,1402,neuron,neuron,neural,1.337325930595398,opc,neural,0.9259324669837952,0.4113934636116028,False
67,1075,b_plasma,b_plasma,immune,4.921243667602539,dc,immune,0.48080191016197205,4.440441608428955,False
69,674,astrocyte,astrocyte,neural,2.1118924617767334,neuron,neural,1.4190764427185059,0.6928160190582275,False
