cell_type_predicted,n_cells,mean_confidence
macrophage,226242,0.9052618
microglia,198061,0.93632936
tumor_gbm,102717,0.94965017
t_cell,102034,1.4073241
neuron,89693,1.6026729
astrocyte,57475,1.3646892
opc,53805,1.2782612
neutrophil,48992,1.3876283
oligodendrocyte,42570,2.3268864
ependymal,37760,1.5525167
nk_cell,16040,2.4855895
ambiguous,7172,0.75284415
b_plasma,5302,8.983041
mural,4774,8.78677
endothelial,4375,4.8752203
dc,4028,3.0129473
excitatory_neuron,2466,3.38167
inhibitory_neuron,2204,1.7224405
mast,634,31.198277
