pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|A2M|LRP1,True,True,0.85021454,0.86583877
immune|nerve|ACTR2|LDLR,True,True,0.74804884,0.8213612
immune|nerve|ACTR2|LRP2,True,True,0.85586095,0.9335198
immune|nerve|ADAM10|CADM1,True,True,0.89509314,0.90573
immune|nerve|ADAM10|CD44,True,True,0.87095875,0.8567481
immune|nerve|ADAM10|IL6R,True,True,0.75957865,0.79815775
immune|nerve|ADAM10|MET,True,True,0.7801036,0.7773423
immune|nerve|ADAM10|NOTCH1,True,True,0.83855736,0.765509
immune|nerve|ADAM10|NOTCH2,True,True,0.8007035,0.71480477
immune|nerve|ADAM10|NRCAM,True,True,0.9012451,0.8828332
immune|nerve|ADAM10|TSPAN14,True,True,0.7396066,0.7546089
immune|nerve|ADAM10|TSPAN15,True,True,0.7794554,0.86129314
immune|nerve|ADAM10|TSPAN5,True,True,0.87261313,0.8927818
immune|nerve|ADAM17|ERBB4,True,True,0.89231455,0.9093776
immune|nerve|ADAM17|IL6R,True,True,0.7461148,0.7890457
immune|nerve|ADAM17|ITGB1,True,True,0.7988229,0.86650115
immune|nerve|ADAM17|MET,True,True,0.7674372,0.76756424
immune|nerve|ADAM17|NOTCH1,True,True,0.828518,0.7553748
immune|nerve|ADAM9|ITGA6,True,True,0.77566296,0.67429763
immune|nerve|ADAM9|ITGAV,True,True,0.86453396,0.85726744
immune|nerve|ADAM9|ITGB1,True,True,0.8034847,0.8654707
immune|nerve|ADAM9|ITGB5,True,True,0.7229344,0.7040715
immune|nerve|ADM|CALCRL,True,True,0.71267533,0.76165426
immune|nerve|ADM|RAMP1,True,True,0.7298642,0.76293266
immune|nerve|AFDN|EPHB2,True,True,0.7817652,0.72133374
immune|nerve|ALCAM|CHL1,True,True,0.9005219,0.7919423
immune|nerve|ANGPTL4|CDH11,True,True,0.73503536,0.77865547
immune|nerve|ANGPTL4|SDC2,True,True,0.60200727,0.55888325
immune|nerve|ANGPTL4|SDC3,True,True,0.6970046,0.6913585
immune|nerve|ANOS1|FGFR1,True,True,0.8379365,0.7555343
immune|nerve|ANXA1|DYSF,True,True,0.7252969,0.8877553
immune|nerve|ANXA1|EGFR,True,True,0.8850226,0.9037046
immune|nerve|ANXA1|GRM7,True,True,0.8731006,0.8347844
immune|nerve|APOC1|VLDLR,True,True,0.7026184,0.89736766
immune|nerve|APOE|ABCA1,True,True,0.90293384,0.95834893
immune|nerve|APOE|LDLR,True,True,0.7966844,0.8794074
immune|nerve|APOE|LRP1,True,True,0.8698183,0.9147625
immune|nerve|APOE|LRP2,True,True,0.8868333,0.95702827
immune|nerve|APOE|LRP4,True,True,0.8622789,0.9381011
immune|nerve|APOE|LRP5,True,True,0.81038547,0.88995993
immune|nerve|APOE|LRP6,True,True,0.8860219,0.95280504
immune|nerve|APOE|LRP8,True,True,0.8565143,0.8639354
immune|nerve|APOE|SCARB1,True,True,0.8519441,0.9265231
immune|nerve|APOE|SDC2,True,True,0.8002326,0.82818264
immune|nerve|APOE|SORL1,True,True,0.8763053,0.9480819
immune|nerve|APOE|VLDLR,True,True,0.781339,0.91100043
immune|nerve|APP|DCC,True,True,0.88378584,0.87190187
immune|nerve|APP|LRP6,True,True,0.8539782,0.859663
immune|nerve|APP|TSPAN15,True,True,0.768731,0.8330082
immune|nerve|ARF1|CHRM3,True,True,0.8174961,0.8446949
immune|nerve|ARF1|INSR,True,True,0.7887486,0.91442394
immune|nerve|ARF6|PLD1,True,True,0.75103164,0.90993464
immune|nerve|ARF6|SMAP1,True,True,0.6892966,0.8541049
immune|nerve|ARPC5|LDLR,True,True,0.67870146,0.8249299
immune|nerve|ARPC5|LRP2,True,True,0.80859506,0.93502516
immune|nerve|BSG|SLC16A1,True,True,0.6809776,0.8125464
immune|nerve|BSG|SLC16A7,True,True,0.69713724,0.8321229
immune|nerve|C1QB|LRP1,True,True,0.8027368,0.9054363
immune|nerve|C3|CD46,True,True,0.86435074,0.91356635
immune|nerve|C3|CD81,True,True,0.8279407,0.9322955
immune|nerve|C3|GRM7,True,True,0.9126314,0.8369494
immune|nerve|C3|LRP1,True,True,0.8739828,0.88007593
immune|nerve|CALM1|CACNA1C,True,True,0.90288544,0.8679828
immune|nerve|CALM1|GRM3,True,True,0.87509894,0.9446046
immune|nerve|CALM1|GRM5,True,True,0.8936781,0.8366254
immune|nerve|CALM1|GRM7,True,True,0.8914922,0.8468171
immune|nerve|CALM1|INSR,True,True,0.87217396,0.94035244
immune|nerve|CALM1|KCNQ3,True,True,0.89874756,0.8356722
immune|nerve|CALM1|KCNQ5,True,True,0.8986304,0.898639
immune|nerve|CALM1|PDE1A,True,True,0.86256295,0.9436099
immune|nerve|CALM1|PDE1C,True,True,0.88851154,0.95218015
immune|nerve|CALM1|PTPRA,True,True,0.88510686,0.9342125
immune|nerve|CALM1|RYR2,True,True,0.90605307,0.9168959
immune|nerve|CALM3|AR,True,True,0.63517755,0.7751195
immune|nerve|CALM3|CACNA1C,True,True,0.79959756,0.7955213
immune|nerve|CALM3|EGFR,True,True,0.7977631,0.85867214
immune|nerve|CALM3|GRM5,True,True,0.7829517,0.75187254
immune|nerve|CALM3|GRM7,True,True,0.779052,0.7658716
immune|nerve|CALM3|INSR,True,True,0.745432,0.9031823
immune|nerve|CALM3|KCNQ3,True,True,0.7920723,0.75057214
immune|nerve|CALM3|KCNQ5,True,True,0.7918601,0.8399004
immune|nerve|CALM3|PDE1A,True,True,0.7292496,0.9082717
immune|nerve|CALM3|PDE1C,True,True,0.7737667,0.9217674
immune|nerve|CALM3|RYR2,True,True,0.80540806,0.8671733
immune|nerve|CALR|ITGAV,True,True,0.80295146,0.9016478
immune|nerve|CCL5|GRM7,True,True,0.8857715,0.86934686
immune|nerve|CD14|ITGB1,True,True,0.7739767,0.92731786
immune|nerve|CD14|RIPK1,True,True,0.73274446,0.8795769
immune|nerve|CD47|SIRPA,True,True,0.785347,0.80444735
immune|nerve|CD55|ADGRE2,True,True,0.63727844,0.819207
immune|nerve|CD55|ADGRE5,True,True,0.65291864,0.82899946
immune|nerve|CD96|NECTIN1,True,True,0.7868919,0.8673761
immune|nerve|CD99|CD81,True,True,0.74780625,0.9242484
immune|nerve|CD99|CD99L2,True,True,0.7560319,0.88593256
immune|nerve|CD99|PILRA,True,True,0.6797819,0.7619253
immune|nerve|CXCL16|GRM7,True,True,0.76439506,0.7902962
immune|nerve|CXCL8|GRM7,True,True,0.86852753,0.8396497
immune|nerve|CXCL8|SDC2,True,True,0.72448987,0.77076745
immune|nerve|CXCL8|SDC3,True,True,0.799966,0.85600483
immune|nerve|ENTPD1|ADORA1,True,True,0.7635863,0.80399334
immune|nerve|F13A1|ITGB1,True,True,0.78945214,0.8545127
immune|nerve|FAM3C|LAMP1,True,True,0.65481734,0.8581483
immune|nerve|FAM3C|LIFR,True,True,0.75187874,0.8070413
immune|nerve|FARP2|PLXNA2,True,True,0.7970226,0.5361005
immune|nerve|FARP2|PLXNA3,True,True,0.7000762,0.6382718
immune|nerve|FN1|CD44,True,True,0.83226424,0.87501556
immune|nerve|FN1|ITGA2,True,True,0.79413664,0.8884602
immune|nerve|FN1|ITGA6,True,True,0.7263091,0.7210583
immune|nerve|FN1|ITGAV_ITGB1,True,True,0.75834465,0.882343
immune|nerve|FN1|ITGAV_ITGB8,True,True,0.82885295,0.882343
immune|nerve|FN1|MAG,True,True,0.7996982,0.93124783
immune|nerve|FN1|NT5E,True,True,0.67273206,0.71822757
immune|nerve|FN1|SDC2,True,True,0.70199126,0.68062794
immune|nerve|GAS6|TYRO3,True,True,0.7319511,0.8471458
immune|nerve|GNAI2|ADCY9,True,True,0.79498273,0.85604817
immune|nerve|GNAI2|ADORA1,True,True,0.66397697,0.871147
immune|nerve|GNAI2|CAV1,True,True,0.70548093,0.9005963
immune|nerve|GNAI2|EGFR,True,True,0.85739654,0.8948546
immune|nerve|GNAI2|IGF1R,True,True,0.8282148,0.9341915
immune|nerve|GNAI2|UNC5B,True,True,0.7091337,0.90798503
immune|nerve|GNAS|ADCY9,True,True,0.852595,0.8501338
immune|nerve|GNAS|ADORA1,True,True,0.7466722,0.8657557
immune|nerve|GPI|AMFR,True,True,0.7150198,0.80724263
immune|nerve|GRN|EGFR,True,True,0.8698888,0.8951979
immune|nerve|GRN|SORT1,True,True,0.8493597,0.939911
immune|nerve|GRN|TNFRSF1A,True,True,0.70101535,0.80598384
