immune_leiden,sample_id,n_cells
0,3182,5
0,3282,1
0,3295,80
0,BT363,2
0,BT364,1
0,BT368,1
0,BT389,8
0,BT390,3
0,BT397,18
0,BT402,27
0,BT407,9
0,BT409,9
0,C3N-01798,27
0,C3N-01815,19
0,C3N-01816,165
0,C3N-02181,6
0,C3N-02188,21
0,C3N-02190,2
0,C3N-02769,1
0,C3N-02783,18
0,C3N-02784,83
0,C3N-03184,2
0,C3N-03186,6
0,C3N-03188,72
0,E10,13
0,E37,9
0,E39,10
0,E99,10
0,E100,12
0,G549,1
0,G566,1
0,G620,11
0,G910,33
0,G946,35
0,G967,42
0,G983,37
0,GSM4141790,3
0,JK134,1
0,JK156,1
0,LB3018T,3
0,LB3579T,8
0,LB3612T,5
0,LB3667T,62
0,LB3836T,4
0,LB3851T,28
0,LB3853T,38
0,LB3854T,12
0,LB3864T,34
0,LB3865T,6
0,LB3869T,13
0,LB3871T,136
0,LB3872T,20
0,LB3914T,24
0,LB3915T,32
0,LB3931T,7
0,LB3933T,2
0,LB3941T,10
0,LB3944T,17
0,LB3963T,2
0,LB4003T,6
0,LB4006T,12
0,LB4024T,2
0,LB4034T,4
0,LB4038T,4
0,LB4059T,21
0,LB4075T,23
0,LB4101T,27
0,LB4112T,5
0,LB4117T,6
0,LB4143T,9
0,MGH105,4
0,MGH114,7
0,MGH115,9
0,MGH124,1
0,MGH126,4
0,ND1,2
0,ND2,6
0,ND4,14
0,ND5,6
0,ND7,106
0,ND8,168
0,P234_JAK,9
0,P294,4
0,P317,286
0,P322,74
0,Patient_1,8
0,Patient_2,23
0,Patient_3,12
0,Patient_4,43
0,R1,189
0,R2,422
0,R3,68
0,R4,1090
0,R5,571
0,SF11232,8
0,SF11247,13
0,SF11644,1
0,SM006,11
0,SM011,5
0,SM012,1
0,SM017,1
0,X154,33
0,X192,33
0,X194,47
0,ndGBM-01,102
0,ndGBM-02,313
0,ndGBM-03,39
0,ndGBM-04,13
0,ndGBM-05,48
0,ndGBM-06,2
0,ndGBM-07,11
0,ndGBM-08,34
0,ndGBM-09,76
0,ndGBM-11,3
0,rGBM-01,289
0,rGBM-02,301
0,rGBM-03,110
0,rGBM-04,19
0,rGBM-05,5
1,3182,28
1,3282,13
1,3295,499
1,BT346,1
1,BT363,6
1,BT364,16
1,BT368,9
1,BT389,80
1,BT390,10
1,BT397,245
1,BT402,127
1,BT407,28
1,BT409,17
1,C3N-01798,3
1,C3N-01815,6
1,C3N-01816,91
1,C3N-02181,24
1,C3N-02188,39
1,C3N-02190,1
1,C3N-02769,7
1,C3N-02783,2
1,C3N-02784,19
1,C3N-03184,5
1,C3N-03188,14
1,E10,4484
1,E37,3729
1,E39,1974
1,E99,4754
1,E100,2846
1,G523,1
1,G583,1
1,G620,60
1,G910,96
1,G946,83
1,G967,271
1,G983,48
1,G1003,12
1,GSM4141790,2
1,JK124,1
1,JK136,3
1,JK142,4
1,LB3018T,59
1,LB3579T,96
1,LB3612T,42
1,LB3667T,396
1,LB3771T,19
1,LB3836T,75
1,LB3851T,108
1,LB3853T,95
1,LB3854T,50
1,LB3864T,242
1,LB3865T,83
1,LB3869T,79
1,LB3871T,103
1,LB3872T,226
1,LB3914T,515
1,LB3915T,139
1,LB3931T,55
1,LB3933T,46
1,LB3941T,54
1,LB3944T,340
1,LB3963T,109
1,LB4003T,108
1,LB4006T,198
1,LB4015T,23
1,LB4024T,20
1,LB4034T,157
1,LB4038T,7
1,LB4059T,117
1,LB4075T,152
1,LB4101T,52
1,LB4112T,114
1,LB4117T,34
1,LB4130T,1
1,LB4143T,50
1,LB4180T,35
1,MGH105,3
1,MGH114,33
1,MGH115,9
1,MGH118,1
1,MGH124,1
1,MGH125,18
1,MGH126,5
1,ND1,2
1,ND2,31
1,ND3,7
1,ND4,324
1,ND5,33
1,ND6,27
1,ND7,549
1,ND8,1104
1,P234_JAK,223
1,P294,1250
1,P317,2170
1,P322,352
1,Patient_1,54
1,Patient_2,70
1,Patient_3,196
1,Patient_4,76
1,R1,1964
1,R2,1518
1,R3,1204
1,R4,3183
1,R5,941
1,SF11159,2
1,SF11209,1
1,SF11232,4
1,SF11247,11
1,SF11644,6
1,SF11956,6
1,SF11979,4
1,SM006,10
1,SM011,4
1,SM012,6
1,SM017,1
1,X154,162
1,X192,76
1,X194,1212
1,ndGBM-01,211
1,ndGBM-02,1254
1,ndGBM-03,323
1,ndGBM-04,39
1,ndGBM-05,89
1,ndGBM-06,2
1,ndGBM-07,1198
1,ndGBM-08,70
1,ndGBM-09,596
1,ndGBM-11,28
1,rGBM-01,601
1,rGBM-02,4873
1,rGBM-03,155
1,rGBM-04,661
1,rGBM-05,392
2,3295,2
2,BT333,1
2,BT389,3
2,BT397,7
2,BT407,4
2,C3N-00662,4
2,C3N-01334,1
2,C3N-01816,110
2,C3N-02181,5
2,C3N-02188,1
2,C3N-02783,16
2,C3N-02784,28
2,C3N-03184,1
2,C3N-03188,1
2,E10,4
2,E99,12
2,E100,44
2,G910,49
2,G946,3
2,G983,1
2,JK124,1
2,JK163,1
2,LB3579T,1
2,LB3853T,5
2,LB3864T,5
2,LB3865T,2
2,LB3869T,6
2,LB3871T,12
2,LB3872T,3
2,LB3914T,2
2,LB3915T,4
2,LB3944T,155
2,LB4003T,9
2,LB4006T,12
2,LB4024T,1
2,LB4112T,6
2,MGH105,1
2,MGH126,68
2,ND2,2
2,ND4,1
2,ND6,2
2,ND7,13
2,ND8,10
2,P317,2
2,P322,1
2,Patient_1,38
2,Patient_3,13
2,Patient_4,113
2,R1,48
2,R2,10
2,R3,177
2,R4,112
2,R5,18
2,SF11232,1
2,SF11247,17
2,SF11644,2
2,SF11956,2
2,SM011,1
2,SM017,7
2,SM018,5
2,X194,2
2,ndGBM-01,4
2,ndGBM-02,9
2,ndGBM-03,1
2,ndGBM-05,2
2,ndGBM-07,275
2,ndGBM-09,6
2,ndGBM-11,5
2,rGBM-01,12
2,rGBM-02,347
2,rGBM-04,3
3,3182,16
3,3282,7
3,3295,84
3,BT363,3
3,BT364,13
3,BT389,66
3,BT390,3
3,BT397,404
3,BT402,115
3,BT407,44
3,BT409,11
3,C3L-03968,1
3,C3N-01798,92
3,C3N-01815,29
3,C3N-01816,64
3,C3N-02181,62
3,C3N-02188,57
3,C3N-02190,7
3,C3N-02769,5
3,C3N-02783,2
3,C3N-02784,42
3,C3N-03184,26
3,C3N-03186,2
3,C3N-03188,15
3,E10,767
3,E37,320
3,E39,723
3,E99,933
3,E100,1635
3,G523,4
3,G549,1
3,G583,1
3,G620,30
3,G910,80
3,G946,68
3,G967,134
3,G983,42
3,G1003,21
3,GSM4141788,4
3,GSM4141789,1
3,GSM4141790,6
3,JK136,3
3,JK142,5
3,LB3018T,10
3,LB3579T,61
3,LB3612T,19
3,LB3667T,275
3,LB3771T,1
3,LB3836T,24
3,LB3851T,27
3,LB3853T,36
3,LB3854T,10
3,LB3864T,68
3,LB3865T,51
3,LB3869T,43
3,LB3871T,49
3,LB3872T,324
3,LB3914T,136
3,LB3915T,71
3,LB3931T,5
3,LB3933T,30
3,LB3941T,7
3,LB3944T,150
3,LB3963T,20
3,LB4003T,56
3,LB4006T,23
3,LB4015T,2
3,LB4024T,6
3,LB4034T,88
3,LB4038T,1
3,LB4059T,25
3,LB4075T,65
3,LB4101T,12
3,LB4112T,52
3,LB4117T,10
3,LB4130T,5
3,LB4143T,31
3,LB4180T,8
3,MGH102,2
3,MGH105,7
3,MGH114,8
3,MGH115,14
3,MGH118,2
3,MGH124,10
3,MGH125,19
3,MGH126,12
3,ND1,13
3,ND2,48
3,ND3,4
3,ND4,262
3,ND5,29
3,ND6,10
3,ND7,646
3,ND8,483
