cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,6031,R4,0.1807,21,5.0448,0.6809,True,True,True
1,51003,rGBM-02,0.0955,22,5.0392,0.6801,True,True,True
2,1852,rGBM-02,0.1874,13,4.2458,0.573,True,True,True
3,28502,rGBM-02,0.185,22,4.828,0.6516,True,True,True
4,4391,R4,0.1451,25,5.0344,0.6795,True,True,True
5,5165,LB3872T,0.1121,24,5.1611,0.6966,True,True,True
6,39252,rGBM-01,0.284,22,5.2418,0.7074,True,True,True
7,21845,rGBM-02,0.221,21,4.8124,0.6495,True,True,True
8,158,C3N-03184,0.962,2,0.3184,0.043,False,False,False
9,22369,Patient_3,0.2728,16,4.6927,0.6333,True,True,True
10,14322,rGBM-05,0.1552,17,4.4862,0.6055,True,True,True
11,18957,LB3933T,0.1215,27,5.5787,0.7529,True,True,True
12,21785,ndGBM-02,0.1365,20,5.0258,0.6783,True,True,True
13,4979,R5,0.1291,20,5.3501,0.7221,True,True,True
14,32990,BT397,0.0945,23,5.346,0.7215,True,True,True
15,27608,ND7,0.2064,16,4.3243,0.5836,True,True,True
16,25258,rGBM-01,0.213,22,5.5573,0.75,True,True,True
17,47346,LB3872T,0.0792,23,5.5483,0.7488,True,True,True
18,7827,P322,0.4384,5,2.2852,0.3084,True,True,True
19,411,LB4117T,0.9075,3,0.7398,0.0998,False,True,False
20,33449,Patient_4,0.4488,11,3.18,0.4292,True,True,True
21,28924,Patient_3,0.3615,9,3.185,0.4299,True,True,True
22,16036,G910,0.1887,20,5.0508,0.6817,True,True,True
23,35864,LB4038T,0.2447,16,4.0762,0.5501,True,True,True
24,10417,C3N-01816,0.1318,18,4.5516,0.6143,True,True,True
25,119,MGH143,0.9916,1,0.07,0.0094,False,False,False
26,5583,Patient_2,0.7999,6,1.7106,0.2309,False,True,False
27,33367,C3N-02783,0.1522,21,4.7968,0.6474,True,True,True
28,4714,P317,0.3481,7,2.6931,0.3635,True,True,True
29,16903,Patient_1,0.6959,4,2.1664,0.2924,False,True,False
30,31,C3N-00662,0.5484,3,1.1609,0.1567,False,True,False
31,14,ND5,0.9286,2,0.3712,0.0501,False,False,False
32,8436,ndGBM-10,0.9311,1,0.7481,0.101,False,False,False
33,2176,R4,0.1783,18,4.5368,0.6123,True,True,True
34,6692,LB3963T,0.9411,2,0.5188,0.07,False,False,False
35,1598,P234_JAK,0.577,2,1.1943,0.1612,False,False,False
36,1051,R4,0.3949,14,3.156,0.4259,True,True,True
37,5216,Patient_4,0.7812,5,1.4078,0.19,False,True,False
38,623,ndGBM-07,0.3226,10,3.3537,0.4526,True,True,True
