cluster,label,top_markers,interpretation,score_neuron,score_excitatory_neuron,score_inhibitory_neuron,score_opc,score_oligodendrocyte,score_astrocyte,score_ependymal
0,c0 | oligodendrocyte | oligodendrocyte,"IL1RAPL1, CTNNA3, PCDH9, SLC24A2, UNC5C","Dominant oligodendrocyte (100% of 5523 cells); top markers IL1RAPL1, CTNNA3, PCDH9, SLC24A2, UNC5C; highest canonical score = oligodendrocyte (1.55).",-0.07079140508723133,-0.030782851562235813,-0.02130787140847231,-0.1866461085662934,1.5490713138184327,-0.1322214163391676,0.008745224198774002
1,c1 | oligodendrocyte | oligodendrocyte,"PPP1R14A, ACTB, CALM2, TMSB4X, NICOL1","Dominant oligodendrocyte (100% of 3585 cells); top markers PPP1R14A, ACTB, CALM2, TMSB4X, NICOL1; highest canonical score = oligodendrocyte (2.36).",-0.14635389175319716,-0.04845444255515843,-0.0284325614758061,0.31607214296686553,2.3594223984594627,0.7156013601125534,-0.02192678499371437
2,c2 | oligodendrocyte | oligodendrocyte,"CNP, PLP1, RNASE1, UBB, APOD","Dominant oligodendrocyte (100% of 3493 cells); top markers CNP, PLP1, RNASE1, UBB, APOD; highest canonical score = oligodendrocyte (2.50).",-0.16929915032566292,-0.056063859626893975,-0.03584898771055669,0.3659603313648777,2.497149222802884,0.44652961035785654,-0.02696902706045972
3,c3 | oligodendrocyte | oligodendrocyte,"TMTC2, PTPRK, DPYD, DLC1, ELMO1","Dominant oligodendrocyte (100% of 3122 cells); top markers TMTC2, PTPRK, DPYD, DLC1, ELMO1; highest canonical score = oligodendrocyte (0.68).",-0.06630376651911762,-0.053294340183076605,-0.022898997748073746,-0.25395062947146935,0.6821863656860627,-0.21556615088762648,0.011110445370397683
4,c4 | oligodendrocyte | oligodendrocyte,"ST6GALNAC3, NKAIN2, MAN2A1, ST18, LINC00609","Dominant oligodendrocyte (100% of 2945 cells); top markers ST6GALNAC3, NKAIN2, MAN2A1, ST18, LINC00609; highest canonical score = oligodendrocyte (1.40).",-0.11358321818046538,-0.05360537031658909,-0.034170832820173434,-0.26383837306299174,1.40065803984295,-0.1952197855673035,0.01819949367859975
5,c5 | oligodendrocyte | oligodendrocyte,"NKX6-2, CAMK2N1, SELENOP, GSN, TF","Dominant oligodendrocyte (100% of 2827 cells); top markers NKX6-2, CAMK2N1, SELENOP, GSN, TF; highest canonical score = oligodendrocyte (2.09).",-0.2133918827884589,-0.08333176482638834,-0.04688135008221035,0.18254188000560942,2.0924594051862377,0.3718800904684831,-0.035313282326459465
6,c6 | oligodendrocyte | oligodendrocyte,"H3-3B, B2M, CD63, MT2A, EIF1","Dominant oligodendrocyte (100% of 2638 cells); top markers H3-3B, B2M, CD63, MT2A, EIF1; highest canonical score = oligodendrocyte (1.40).",-0.14387461372651866,-0.06277211611398037,-0.03664998699023864,0.028970685266229246,1.4039892032259729,0.5361728304226893,-0.03087709250573953
7,c7 | oligodendrocyte | oligodendrocyte,"RNF220, SLC5A11, ST18, CTNNA3, PLEKHH1","Dominant oligodendrocyte (100% of 2388 cells); top markers RNF220, SLC5A11, ST18, CTNNA3, PLEKHH1; highest canonical score = oligodendrocyte (1.58).",-0.08102437008432274,-0.031432362895381975,-0.02711533573704149,-0.16485388149449154,1.5764239589146967,-0.09969678007453131,0.02376728653183934
8,c8 | inhibitory_neuron | neuron,"PTPRZ1, SOX5, MIR3681HG, XYLT1, SOX2-OT","Dominant inhibitory_neuron (100% of 2165 cells); top markers PTPRZ1, SOX5, MIR3681HG, XYLT1, SOX2-OT; highest canonical score = neuron (0.33).",0.332734675390524,-0.030196129947923714,0.2785007292117588,0.12643697326722622,-0.1942488666096497,-0.12652223287471173,0.024636536877370045
9,c9 | oligodendrocyte | oligodendrocyte,"S100B, CALM1, MYLK, CLU, ARPC5","Dominant oligodendrocyte (100% of 1970 cells); top markers S100B, CALM1, MYLK, CLU, ARPC5; highest canonical score = oligodendrocyte (1.99).",-0.2168390534349202,-0.08483317330000566,-0.05047360022519849,0.13492670990257755,1.9868542902280029,0.4189888312060216,-0.013462969184829499
