nerve_leiden,cell_type_predicted,sample_id,n_cells
0,excitatory_neuron,3182,0
0,excitatory_neuron,3282,0
0,excitatory_neuron,3295,0
0,excitatory_neuron,BT333,0
0,excitatory_neuron,BT346,0
0,excitatory_neuron,BT363,0
0,excitatory_neuron,BT364,0
0,excitatory_neuron,BT368,0
0,excitatory_neuron,BT389,0
0,excitatory_neuron,BT390,0
0,excitatory_neuron,BT397,0
0,excitatory_neuron,BT402,0
0,excitatory_neuron,BT407,0
0,excitatory_neuron,BT409,0
0,excitatory_neuron,C3L-02705,0
0,excitatory_neuron,C3L-03405,0
0,excitatory_neuron,C3L-03968,0
0,excitatory_neuron,C3N-00662,0
0,excitatory_neuron,C3N-01334,0
0,excitatory_neuron,C3N-01798,0
0,excitatory_neuron,C3N-01814,0
0,excitatory_neuron,C3N-01815,0
0,excitatory_neuron,C3N-01816,0
0,excitatory_neuron,C3N-02181,0
0,excitatory_neuron,C3N-02188,0
0,excitatory_neuron,C3N-02190,0
0,excitatory_neuron,C3N-02769,0
0,excitatory_neuron,C3N-02783,0
0,excitatory_neuron,C3N-02784,0
0,excitatory_neuron,C3N-03184,0
0,excitatory_neuron,C3N-03186,0
0,excitatory_neuron,C3N-03188,0
0,excitatory_neuron,E10,0
0,excitatory_neuron,E100,0
0,excitatory_neuron,G523,0
0,excitatory_neuron,G549,0
0,excitatory_neuron,G566,0
0,excitatory_neuron,G583,0
0,excitatory_neuron,G620,0
0,excitatory_neuron,G637,0
0,excitatory_neuron,G729,0
0,excitatory_neuron,G799,0
0,excitatory_neuron,G837,0
0,excitatory_neuron,G851,0
0,excitatory_neuron,G910,0
0,excitatory_neuron,G945,0
0,excitatory_neuron,G946,0
0,excitatory_neuron,G967,0
0,excitatory_neuron,G983,0
0,excitatory_neuron,G1003,0
0,excitatory_neuron,GSM4141788,0
0,excitatory_neuron,GSM4141789,0
0,excitatory_neuron,GSM4141790,0
0,excitatory_neuron,JK125,0
0,excitatory_neuron,JK134,0
0,excitatory_neuron,JK136,0
0,excitatory_neuron,JK142,0
0,excitatory_neuron,JK153,0
0,excitatory_neuron,JK156,0
0,excitatory_neuron,JK163,0
0,excitatory_neuron,LB3018T,0
0,excitatory_neuron,LB3579T,0
0,excitatory_neuron,LB3612T,0
0,excitatory_neuron,LB3667T,0
0,excitatory_neuron,LB3771T,0
0,excitatory_neuron,LB3851T,0
0,excitatory_neuron,LB3853T,0
0,excitatory_neuron,LB3854T,0
0,excitatory_neuron,LB3864T,0
0,excitatory_neuron,LB3865T,0
0,excitatory_neuron,LB3869T,0
0,excitatory_neuron,LB3871T,0
0,excitatory_neuron,LB3872T,0
0,excitatory_neuron,LB3914T,0
0,excitatory_neuron,LB3915T,0
0,excitatory_neuron,LB3931T,0
0,excitatory_neuron,LB3944T,0
0,excitatory_neuron,LB3963T,0
0,excitatory_neuron,LB4003T,0
0,excitatory_neuron,LB4006T,0
0,excitatory_neuron,LB4015T,0
0,excitatory_neuron,LB4024T,0
0,excitatory_neuron,LB4034T,0
0,excitatory_neuron,LB4059T,0
0,excitatory_neuron,LB4075T,0
0,excitatory_neuron,LB4101T,0
0,excitatory_neuron,LB4117T,0
0,excitatory_neuron,LB4180T,0
0,excitatory_neuron,MGH102,0
0,excitatory_neuron,MGH105,0
0,excitatory_neuron,MGH114,0
0,excitatory_neuron,MGH115,0
0,excitatory_neuron,MGH118,0
0,excitatory_neuron,MGH124,0
0,excitatory_neuron,MGH125,0
0,excitatory_neuron,MGH126,0
0,excitatory_neuron,ND4,0
0,excitatory_neuron,P234_JAK,0
0,excitatory_neuron,P294,0
0,excitatory_neuron,P317,0
0,excitatory_neuron,P322,0
0,excitatory_neuron,Patient_2,0
0,excitatory_neuron,Patient_4,0
0,excitatory_neuron,R2,0
0,excitatory_neuron,R3,0
0,excitatory_neuron,R5,0
0,excitatory_neuron,SF4297,0
0,excitatory_neuron,SF6996,0
0,excitatory_neuron,SF9259R,0
0,excitatory_neuron,SF9259S,0
0,excitatory_neuron,SF10022,0
0,excitatory_neuron,SF10127,0
0,excitatory_neuron,SF11159,0
0,excitatory_neuron,SF11209,0
0,excitatory_neuron,SF11232,0
0,excitatory_neuron,SF11247,0
0,excitatory_neuron,SF11644,0
0,excitatory_neuron,SF11956,0
0,excitatory_neuron,SF11979,0
0,excitatory_neuron,SM006,0
0,excitatory_neuron,SM011,0
0,excitatory_neuron,SM012,0
0,excitatory_neuron,SM017,0
0,excitatory_neuron,SM018,0
0,excitatory_neuron,X154,0
0,excitatory_neuron,X192,0
0,excitatory_neuron,X194,0
0,excitatory_neuron,ndGBM-01,0
0,excitatory_neuron,ndGBM-02,0
0,excitatory_neuron,ndGBM-03,0
0,excitatory_neuron,ndGBM-04,0
0,excitatory_neuron,ndGBM-05,0
0,excitatory_neuron,ndGBM-06,0
0,excitatory_neuron,ndGBM-07,0
0,excitatory_neuron,ndGBM-08,0
0,excitatory_neuron,ndGBM-09,0
0,excitatory_neuron,ndGBM-11,0
0,excitatory_neuron,rGBM-01,0
0,excitatory_neuron,rGBM-02,0
0,excitatory_neuron,rGBM-03,0
0,excitatory_neuron,rGBM-04,0
0,inhibitory_neuron,3182,0
0,inhibitory_neuron,3282,0
0,inhibitory_neuron,3295,0
0,inhibitory_neuron,BT333,0
0,inhibitory_neuron,BT346,0
0,inhibitory_neuron,BT363,0
