cluster,names,gene_symbol,scores,logfoldchanges,pvals,pvals_adj,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
10,ENSG00000115310,RTN4,56.492508,1.8854629,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000086061,DNAJA1,52.893974,2.966538,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000169504,CLIC4,52.642975,2.8900905,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000125740,FOSB,51.88668,3.5722818,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000096384,HSP90AB1,51.851944,2.7287784,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000178053,MLF1,51.680786,4.159892,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000080824,HSP90AA1,51.371155,2.4744067,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000008405,CRY1,50.809162,3.8962133,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000159388,BTG2,50.7989,3.3202078,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000166086,JAM3,50.338776,2.6265285,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000099860,GADD45B,50.190342,3.3589594,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000164924,YWHAZ,50.12699,2.4336643,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000161011,SQSTM1,50.0401,2.5692825,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000087074,PPP1R15A,49.41629,3.065414,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000163660,CCNL1,49.346806,2.626785,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000105835,NAMPT,49.287727,3.146604,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000171223,JUNB,49.282467,3.1365006,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000132002,DNAJB1,49.24003,3.0059416,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000109846,CRYAB,48.296974,3.599313,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000166233,ARIH1,47.931313,2.6643097,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000122042,UBL3,47.882046,2.3573465,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000104765,BNIP3L,47.73011,2.4338646,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000126524,SBDS,47.39799,2.553902,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000160888,IER2,47.378456,3.0493734,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000006652,IFRD1,46.883133,2.8061953,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000146278,PNRC1,46.45157,2.5462825,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000185022,MAFF,46.268948,3.1158378,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000120694,HSPH1,45.46912,2.9234421,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000140941,MAP1LC3B,45.428448,2.4702768,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000111266,DUSP16,45.404125,2.8284705,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000198668,CALM1,45.11024,2.3094249,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000153113,CAST,44.84017,2.3124278,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000054267,ARID4B,44.812866,1.9549077,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000121101,TEX14,44.708786,5.0213904,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000100664,EIF5,44.432228,2.2483044,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000044574,HSPA5,44.403297,2.504641,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000136826,KLF4,43.9451,3.9109051,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000072364,AFF4,43.677513,2.0647573,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000075785,RAB7A,43.430916,1.9545478,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000115053,NCL,43.202633,2.2641969,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000089220,PEBP1,43.100384,2.3534598,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000184557,SOCS3,43.085297,2.5258722,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000115875,SRSF7,43.01875,2.3295743,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000113013,HSPA9,42.85692,2.2544618,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000144381,HSPD1,42.795486,2.2652786,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000165029,ABCA1,42.744663,2.4696722,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000125347,IRF1,42.61387,2.5511463,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000167552,TUBA1A,42.477493,2.3285978,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000160789,LMNA,42.05742,2.1881464,0.0,0.0,0.8274,7,0.1908,False
10,ENSG00000070759,TESK2,41.90624,3.0118823,0.0,0.0,0.8274,7,0.1908,False
1,ENSG00000167641,PPP1R14A,74.11862,3.4367344,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000075624,ACTB,73.85778,2.882995,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000143933,CALM2,73.43619,3.1752462,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000205542,TMSB4X,73.165016,3.3601837,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000243449,NICOL1,69.883736,2.9901516,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000111640,GAPDH,69.412186,2.972015,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000115268,RPS15,68.99585,3.1144812,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000142541,RPL13A,68.11276,3.1662576,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000160307,S100B,67.955154,3.1555037,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000147403,RPL10,66.82807,3.0779793,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000107317,PTGDS,66.68944,2.865316,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000229117,RPL41,66.49195,3.0560455,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000124172,ATP5F1E,66.48207,2.7714496,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000170315,UBB,65.83381,3.0223777,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000080822,CLDND1,65.82175,2.4242458,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000169020,ATP5ME,65.810616,2.8575337,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000109475,RPL34,65.534096,3.027422,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000164587,RPS14,65.38413,2.952562,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000122026,RPL21,65.16943,3.1106324,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000189058,APOD,64.82497,2.8587792,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000135940,COX5B,64.639786,2.649202,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000105372,RPS19,64.493675,2.809685,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000175130,MARCKSL1,64.34257,2.8539457,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000187514,PTMA,63.75477,2.9057431,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000144713,RPL32,63.635605,2.9232259,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000105290,APLP1,63.517868,2.4264052,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000118785,SPP1,63.40654,2.5354233,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000108107,RPL28,63.195934,2.7478378,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000173786,CNP,63.04036,2.5373173,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000167526,RPL13,62.925144,2.6920128,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000087086,FTL,62.838997,3.0971103,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000137818,RPLP1,62.79776,2.8394024,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000167996,FTH1,62.772827,3.3513641,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000233927,RPS28,62.751244,2.8281639,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000177954,RPS27,62.202755,2.9832382,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000143947,RPS27A,62.174595,2.8614812,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000130255,RPL36,61.95912,2.7531567,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000125534,PPDPF,61.71607,2.7531474,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000108298,RPL19,61.534687,2.8247292,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000170889,RPS9,61.443783,2.709563,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000197756,RPL37A,61.217712,2.7838726,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000177600,RPLP2,61.09804,2.7223742,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000136942,RPL35,60.982773,2.686344,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000140988,RPS2,60.740482,2.7321434,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000112306,RPS12,60.720203,2.8415477,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000161970,RPL26,60.66383,2.9409795,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000129538,RNASE1,60.655357,2.6426148,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000123560,PLP1,59.967888,2.7341957,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000240972,MIF,59.8956,2.9354687,0.0,0.0,0.1941,18,0.5886,True
1,ENSG00000214253,FIS1,59.8017,2.395273,0.0,0.0,0.1941,18,0.5886,True
2,ENSG00000173786,CNP,79.92912,3.1585724,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000123560,PLP1,73.6948,3.190874,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000129538,RNASE1,71.3175,3.084085,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000170315,UBB,70.99567,3.2694685,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000189058,APOD,70.85604,3.1025848,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000167641,PPP1R14A,70.55635,3.3306317,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198888,MT-ND1,69.33997,3.4338791,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000107317,PTGDS,69.24485,2.958982,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198763,MT-ND2,68.55568,3.452816,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000099194,SCD,68.4224,2.657262,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000105290,APLP1,68.085846,2.5944598,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000143933,CALM2,67.70969,2.9822483,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000237949,LINC00844,67.40756,3.8343897,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000166925,TSC22D4,66.458534,2.692512,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000136541,ERMN,65.82344,2.6844947,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000159176,CSRP1,65.65345,2.5964248,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198886,MT-ND4,65.30031,3.2402425,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000104833,TUBB4A,64.836586,2.5847218,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000187514,PTMA,64.40167,2.947951,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198899,MT-ATP6,64.19498,3.2282012,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198712,MT-CO2,63.1122,3.0883179,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198804,MT-CO1,61.733665,3.0590203,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000169020,ATP5ME,61.68088,2.5942369,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000184221,OLIG1,61.389687,2.5097387,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000080822,CLDND1,61.039207,2.3017147,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198938,MT-CO3,60.956383,2.8502076,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000102934,PLLP,60.50969,2.165756,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000220205,VAMP2,60.471405,2.3653486,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000109846,CRYAB,60.38942,3.2656744,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000172005,MAL,60.076485,2.4048092,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000159228,CBR1,60.000534,2.320666,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000214253,FIS1,59.98601,2.38133,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000167996,FTH1,59.853962,3.3070152,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000198840,MT-ND3,59.742256,2.9007492,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000102760,RGCC,59.711468,2.5892458,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000243449,NICOL1,59.60315,2.5427504,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000126860,EVI2A,59.50977,2.562844,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000175130,MARCKSL1,59.22182,2.6345804,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000177954,RPS27,59.21297,2.8283095,0.0,0.0,0.4082,17,0.533,True
2,ENSG00000136717,BIN1,58.980938,1.988923,0.0,0.0,0.4082,17,0.533,True
