cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,5523,C3N-03188,0.1812,15,4.0676,0.5697,True,True,True
1,3585,BT390,0.1941,18,4.2021,0.5886,True,True,True
2,3493,G983,0.4082,17,3.8055,0.533,True,True,True
3,3122,SF6996,0.1893,16,3.8795,0.5434,True,True,True
4,2945,C3N-03188,0.1779,16,3.8826,0.5438,True,True,True
5,2827,rGBM-04,0.5076,15,3.2294,0.4523,False,True,False
6,2638,G983,0.2036,24,4.6887,0.6567,True,True,True
7,2388,C3N-01815,0.17,15,4.124,0.5776,True,True,True
8,2165,C3N-02783,0.9931,1,0.0804,0.0113,False,False,False
9,1970,X194,0.4802,7,2.2931,0.3212,True,True,True
10,1616,X194,0.8274,7,1.3622,0.1908,False,True,False
11,1413,C3N-03186,0.351,8,2.6297,0.3683,True,True,True
12,1314,C3N-01814,0.4368,7,2.3921,0.335,True,True,True
13,1037,G523,0.3452,18,4.203,0.5887,True,True,True
14,594,G549,0.4125,7,2.2768,0.3189,True,True,True
15,508,SM018,0.2441,11,3.4114,0.4778,True,True,True
16,336,BT364,0.2917,16,3.4507,0.4833,True,True,True
17,125,MGH105,0.712,4,1.296,0.1815,False,True,False
18,113,X194,0.5575,4,1.5069,0.2111,False,True,False
19,106,LB4003T,0.2264,7,2.6729,0.3744,True,True,True
20,90,C3N-02783,0.7889,9,1.2862,0.1802,False,True,False
21,19,Patient_2,1.0,1,-0.0,-0.0,False,False,False
22,18,SF6996,1.0,1,-0.0,-0.0,False,False,False
neuron,4275,C3N-02783,0.5032,7,2.4313,0.4667,False,True,False
