cluster,n_cells,dominant_sample,dominant_sample_fraction,n_contributing_samples,shannon_entropy_bits,normalised_entropy,pass_dominant,pass_diversity,pass_overall
0,5472,G983,0.2111,23,4.8126,0.6741,True,True,True
1,4077,X194,0.1754,20,4.7635,0.6672,True,True,True
2,4026,X194,0.0919,23,5.0412,0.7061,True,True,True
3,3792,C3N-03188,0.1311,23,4.9191,0.689,True,True,True
4,3532,C3N-02783,0.6246,4,1.9366,0.2713,False,True,False
5,3425,C3N-02783,0.2026,22,4.5169,0.6327,True,True,True
6,3373,C3N-03188,0.1201,22,4.744,0.6645,True,True,True
7,2944,X194,0.109,17,4.7018,0.6586,True,True,True
8,2059,X194,0.1841,19,4.9369,0.6915,True,True,True
9,1438,C3N-03186,0.3435,10,2.8691,0.4019,True,True,True
10,951,SF6996,0.1377,20,4.5893,0.6428,True,True,True
11,915,G523,0.106,21,4.7217,0.6613,True,True,True
12,525,X194,0.099,21,5.4326,0.7609,True,True,True
13,353,G549,0.4023,9,2.383,0.3338,True,True,True
14,339,X194,0.7345,6,1.8873,0.2643,False,True,False
15,283,G549,0.3498,10,2.6385,0.3696,True,True,True
16,191,X194,0.9005,6,0.7558,0.1059,False,True,False
17,126,C3N-02783,0.8333,3,0.9432,0.1321,False,True,False
18,94,X194,0.7128,9,1.5069,0.2111,False,True,False
19,30,G983,0.7,9,1.7656,0.2473,False,True,False
