cluster,gene_set_library,Term,Adjusted P-value,Overlap,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
10,GO_Biological_Process_2024,GOBP_METANEPHRIC_GLOMERULUS_DEVELOPMENT,0.0096933728981206,3/17,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_GAP_JUNCTION_ASSEMBLY,0.0675360276077933,4/18,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,0.0788474805076207,11/16,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN,0.0853349314354629,5/24,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,0.1195515990768216,13/29,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,0.1257567410627875,13/15,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,0.1280909990108803,8/20,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.1312461226171155,15/20,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,0.1470013605847324,3/28,0.8274,7,0.1908,False
10,GO_Biological_Process_2024,GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE,0.1479637846234782,5/38,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_GABA_A_RECEPTOR_ACTIVITY,0.0,10/19,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY,0.0,10/16,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_GLUTAMATE_RECEPTOR_ACTIVITY,0.0,13/26,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_GABA_RECEPTOR_ACTIVITY,0.0,11/22,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,0.0086975149957155,8/16,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_ACTIVITY,0.0124250214224507,9/22,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY,0.0133125229526257,7/17,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY,0.0240734790059982,12/40,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_C_ACYLTRANSFERASE_ACTIVITY,0.033930571671112,10/20,0.8274,7,0.1908,False
10,GO_Molecular_Function_2024,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,0.042009279211853,8/27,0.8274,7,0.1908,False
1,GO_Biological_Process_2024,GOBP_CYTOPLASMIC_TRANSLATION,0.0,84/163,0.1941,18,0.5886,True
