source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
immune_tam,nerve_c6,TIMP1,CD63,2.9483743,0.0,8.66833,1.4179571173575138,2.179971446701945,0.040531617,0.96424395,0.0358490685786588,3.3662622736514735e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c6,tam,0.2036,24.0,0.6567,True,0.221,21.0,0.6495,True,True
immune_tam,nerve_c18,TIMP1,CD63,2.9061604,0.0,8.432644,1.3843454673643607,2.1358771299478985,0.039429583,0.9637657,0.0403392143576717,4.728109936940061e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c18,tam,0.5575,4.0,0.2111,False,0.221,21.0,0.6495,True,False
immune_tam,nerve_c16,TIMP1,CD63,2.881109,0.0,8.292776,1.364398982804614,2.147684514122897,0.03877559,0.9634725,0.0429446031294375,5.983651584832587e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c16,tam,0.2917,16.0,0.4833,True,0.221,21.0,0.6495,True,True
immune_microglia,nerve_c10,APOE,ABCA1,2.859295,0.0,7.1910224,1.153066099663621,2.5430717260541087,0.060910862,0.9608795,0.0129620595341937,7.38677774076916e-06,immune,nerve,immune-nerve,immune_to_nerve,nerve_c10,microglia,0.8274,7.0,0.1908,False,0.0584,28.0,0.8514,True,False
immune_microglia,nerve_c3,APOE,ABCA1,2.7449741,0.0,6.3104005,1.0179762401523575,2.552519910628746,0.053451642,0.95834893,0.0252745013655961,1.661522843637345e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c3,microglia,0.1893,16.0,0.5434,True,0.0584,28.0,0.8514,True,True
immune_tam,nerve_c9,TIMP1,CD63,2.696026,0.0,7.2594233,1.2170270609134934,1.8370270061450409,0.033943806,0.96105707,0.0584463858624115,1.7740835286639172e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
immune_tam,nerve_c5,TIMP1,CD63,2.6955404,0.0,7.2567115,1.2166414953812064,1.801525947220483,0.03393113,0.9610501,0.0584463858624115,1.8317458570808738e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c5,tam,0.5076,15.0,0.4523,False,0.221,21.0,0.6495,True,False
immune_tam,nerve_c1,TIMP1,CD63,2.6264646,0.0,6.871048,1.1616394134134724,1.7862084468474697,0.03212783,0.960015,0.0584463858624115,2.3262062836017956e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c1,tam,0.1941,18.0,0.5886,True,0.221,21.0,0.6495,True,True
immune_microglia,nerve_c4,APOE,LRP2,2.6932743,0.0,5.9121523,3.466134690499516,2.972248452985757,0.049772844,0.95702827,4.280514406302528e-05,2.459031634270748e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c4,microglia,0.1779,16.0,0.5438,True,0.0584,28.0,0.8514,True,True
immune_tam,nerve_c10,TIMP1,CD63,2.5631835,0.0,6.517738,1.1112529419168191,1.578971425811338,0.030475814,0.9589894,0.0584463858624115,3.1784026584718265e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c10,tam,0.8274,7.0,0.1908,False,0.221,21.0,0.6495,True,False
immune_tam,nerve_c15,TIMP1,CD63,2.5099063,0.0,6.22028,1.0688316568075829,1.8042301050004457,0.029084954,0.9580609,0.0584463858624115,4.8932320980949765e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c15,tam,0.2441,11.0,0.4778,True,0.221,21.0,0.6495,True,True
immune_microglia,nerve_c10,APOE,LRP2,2.5869942,0.0,5.093468,3.0280767628102145,2.8070700269128883,0.04288056,0.9538569,0.0003625468376133,5.1821911788680654e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c10,microglia,0.8274,7.0,0.1908,False,0.0584,28.0,0.8514,True,False
immune_tam,nerve_c4,TIMP1,FGFR2,2.4890263,0.0,6.1037035,3.468797296236495,3.0930362951483614,0.03884375,0.9576792,4.1367669591479274e-05,5.7849328701176e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c4,tam,0.1779,16.0,0.5438,True,0.221,21.0,0.6495,True,True
immune_microglia,nerve_c12,APOE,LRP6,2.5564551,0.0,4.858225,1.6108907630364735,2.6706628208544783,0.063147016,0.95280504,0.0031009220265574,6.640063036822427e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c12,microglia,0.4368,7.0,0.335,True,0.0584,28.0,0.8514,True,True
immune_tam,nerve_c17,TIMP1,CD63,2.4549546,0.0,5.913475,1.02507658039127,2.01073685083018,0.027650386,0.9570329,0.0584463858624115,7.204383821601617e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c17,tam,0.712,4.0,0.1815,False,0.221,21.0,0.6495,True,False
immune_microglia,nerve_c9,APOE,ABCA1,2.5519588,0.0,4.823589,0.7898954222056296,2.0911614759578088,0.040857747,0.9526439,0.0584463858624115,7.320004873862328e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,microglia,0.4802,7.0,0.3212,True,0.0584,28.0,0.8514,True,True
immune_tam,nerve_c9,TIMP1,FGFR2,2.4244542,0.0,5.743186,3.3101870537961364,2.9662981650730025,0.036549434,0.9564281,9.087287948027664e-05,8.278034478884479e-05,immune,nerve,immune-nerve,immune_to_nerve,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
