source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
nerve_c0,malignant,NCAM1,PTPRZ1,2.512004,0.0,6.3092384,0.6803720526265333,1.7913965805882008,0.076686986,0.95240986,0.0552680692385295,7.072917857492318e-08,nerve_to_malignant,nerve_c0,0.1812,15,0.5697,True
nerve_c20,malignant,NCAM1,PTPRZ1,2.4788601,0.0,6.1407094,0.6489864762880142,1.6814015564141076,0.07463856,0.9517925,0.0692979049286068,2.828999924659354e-07,nerve_to_malignant,nerve_c20,0.7889,9,0.1802,False
nerve_c4,malignant,NCAM1,PTPRZ1,2.478765,0.0,6.1402254,0.6488941576038167,1.66927593158593,0.07463268,0.9517907,0.0697733022649364,6.364873589224005e-07,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
nerve_c12,malignant,NCAM1,PTPRZ1,2.4561272,0.0,6.0251155,0.6274585423517209,1.8729315043839097,0.07323355,0.9513547,0.0764700385664068,1.1314661951936827e-06,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
nerve_c7,malignant,NCAM1,PTPRZ1,2.3607335,0.0,5.540057,0.5371211612577544,1.660489085059945,0.0673378,0.94937533,0.1346250118851578,3.4645006953900702e-06,nerve_to_malignant,nerve_c7,0.17,15,0.5776,True
malignant,nerve_c12,PTN,PTPRZ1,2.3516288,0.007,5.5294423,0.035277725389228,0.7338469707434436,0.19534229,0.9493292,0.5004464159030069,4.524794583414261e-06,malignant_to_nerve,nerve_c12,0.4368,7,0.335,True
nerve_c3,malignant,NCAM1,PTPRZ1,2.3504639,0.0,5.4878383,0.5273955472852742,1.5888452332153626,0.0667031,0.9491472,0.1425989785884287,5.7263545275000855e-06,nerve_to_malignant,nerve_c3,0.1893,16,0.5434,True
malignant,nerve_neuron,PTN,PTPRZ1,2.2680087,1.0,5.1316833,-0.0248982304258526,1.1003638947267975,0.18129039,0.94750327,0.1001575978353725,1.5900896735273802e-05,malignant_to_nerve,nerve_neuron,0.5032,7,0.4667,False
nerve_c9,malignant,PTN,PTPRZ1,2.256381,1.0,5.009444,-0.0355394582289956,0.4671542060096856,0.07789427,0.9469004,1.0,2.04214021683293e-05,nerve_to_malignant,nerve_c9,0.4802,7,0.3212,True
nerve_c5,malignant,PTN,PTPRZ1,2.2283769,1.0,4.8670483,-0.056006914263918,0.459139401466428,0.075680085,0.94617075,1.0,2.5506068846608457e-05,nerve_to_malignant,nerve_c5,0.5076,15,0.4523,False
nerve_c10,malignant,NCAM1,PTPRZ1,2.220224,0.0,4.8255916,0.4040606244377152,1.2732973612565597,0.058653682,0.9459525,0.2966597563890092,2.825989994583031e-05,nerve_to_malignant,nerve_c10,0.8274,7,0.1908,False
nerve_c22,malignant,NCAM1,PTPRZ1,2.2121916,0.0,4.784749,0.3964537594572991,1.5167456139522535,0.058157254,0.9457348,0.3150506127722548,3.115470000199512e-05,nerve_to_malignant,nerve_c22,1.0,1,-0.0,False
nerve_c13,malignant,NCAM1,PTPRZ1,2.1981976,0.0,4.713592,0.3832018288986236,1.4845192298643273,0.057292357,0.94534904,0.3150506127722548,3.73670875547953e-05,nerve_to_malignant,nerve_c13,0.3452,18,0.5887,True
nerve_neuron,malignant,CNTN1,PTPRZ1,2.1661167,0.0,4.5504665,1.1148358075048388,2.1287531016973578,0.4647604,0.9444321,0.0008028604994875,6.354715075216415e-05,nerve_to_malignant,nerve_neuron,0.5032,7,0.4667,False
nerve_neuron,malignant,NCAM1,PTPRZ1,2.1599138,0.0,4.518925,0.3469469385992275,1.3028664843570708,0.05492624,0.9442493,0.3150506127722548,7.2293974388023e-05,nerve_to_malignant,nerve_neuron,0.5032,7,0.4667,False
nerve_c12,malignant,NLGN1,NRXN1,2.2807796,0.0,3.6825755,0.7508716087590299,1.4420618625920385,0.13924018,0.938611,0.0115285696300357,7.456860618917693e-05,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
malignant,nerve_c12,NRXN1,NLGN1,2.2807796,0.0,3.6825755,0.7508716087590299,1.4420618625920385,0.13924018,0.938611,0.0115285696300357,7.456860618917693e-05,malignant_to_nerve,nerve_c12,0.4368,7,0.335,True
nerve_c9,malignant,NCAM1,PTPRZ1,2.1334026,0.0,4.384121,0.3218416297021886,1.2796929053457495,0.053287733,0.94344676,0.3150506127722548,7.68784009648439e-05,nerve_to_malignant,nerve_c9,0.4802,7,0.3212,True
malignant,nerve_c0,NCAM1,NCAM2,2.206086,0.0,3.6805885,1.0795224343470369,1.067570903764506,0.109498546,0.9385954,0.0296227648967986,8.160345430406733e-05,malignant_to_nerve,nerve_c0,0.1812,15,0.5697,True
malignant,nerve_c20,NCAM1,NCAM2,2.182095,0.0,3.6269956,1.0586569172038034,1.027887043629318,0.10790415,0.93817127,0.0296227648967986,8.646913414202757e-05,malignant_to_nerve,nerve_c20,0.7889,9,0.1802,False
malignant,nerve_c6,TIMP1,CD63,2.1328163,0.0,3.603468,0.5086687720993628,1.5178685153956075,0.09730338,0.9379823,0.0296227648967986,9.147538983829207e-05,malignant_to_nerve,nerve_c6,0.2036,24,0.6567,True
nerve_c18,malignant,MDK,PTPRZ1,2.111344,0.0,4.2719574,0.5962411597692991,2.3084214426759857,0.34225228,0.94275135,0.0136597658188793,9.662222260625732e-05,nerve_to_malignant,nerve_c18,0.5575,4,0.2111,False
