rank_full,rank_capped,axis,tier_v2,interfaces,nerve_side,immune,full_best_mag,capped_best_mag,full_n_rows,capped_n_rows,min_pval,agents_flagged,glioma_trials,withdrawn,selection_arm,qc_filter_applied,compartment_side
1,1,APP|CD74,1_approved_available,"immune-nerve,immune-tumor",oligodendrocyte,"dendritic,microglia,nk_cell,t_cell,tam",4.619457805542283e-09,5.5847742865712825e-08,62,70,0.0,APP: ADUCANUMAB [black-box]; DONANEMAB; LECANEMAB [black-box] | CD74: [clinical] MILATUZUMAB,,,full,True,oligodendrocyte (QC-passing)
10,11,FGFR2|TIMP1,1_approved_available,"immune-nerve,nerve-tumor",oligodendrocyte,"dendritic,microglia,tam",5.7849328701176e-05,0.0001364923699435,22,26,0.0,FGFR2: PALIFERMIN; PEMIGATINIB; REGORAFENIB [black-box]; TRAFERMIN,"pemigatinib (1: NCT05267106) | regorafenib (8: NCT06095375, NCT04704154, NCT04051606)",,full,True,oligodendrocyte (QC-passing)
14,21,EGFR|S100A4,1_approved_available,"immune-nerve,immune-tumor",oligodendrocyte,"dendritic,nk_cell,t_cell,tam",0.0002563721013351,0.0003581659520125,8,7,0.0,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",,full,True,oligodendrocyte (QC-passing)
19,23,CXCR4|HMGB1,1_approved_available,"immune-nerve,immune-tumor",oligodendrocyte,"dendritic,microglia,nk_cell,t_cell,tam",0.0003975203882372,0.0004628155636738,48,57,0.0,CXCR4: MAVORIXAFOR; PLERIXAFOR | HMGB1: [clinical] CD24FC,"plerixafor (4: NCT00669669, NCT03746080, NCT01339039)",,full,True,oligodendrocyte (QC-passing)
22,45,C5AR1|RPS19,1_approved_available,"immune-nerve,immune-tumor",oligodendrocyte,"microglia,tam",0.0005469741124219,0.0029885911499193,7,7,0.0,C5AR1: AVACOPAN,,,full,True,oligodendrocyte (QC-passing)
23,14,CD74_CXCR4|MIF,1_approved_available,"immune-nerve,immune-tumor",oligodendrocyte,"dendritic,microglia,nk_cell,t_cell,tam",0.0006632311580828,0.0002746096874003,25,28,0.0,CD74: [clinical] MILATUZUMAB | CXCR4: MAVORIXAFOR; PLERIXAFOR | MIF: [clinical] IGURATIMOD; IMALUMAB,"plerixafor (4: NCT00669669, NCT03746080, NCT01339039)",,full,True,oligodendrocyte (QC-passing)
26,42,EGFR|VCAN,1_approved_available,"immune-nerve,immune-tumor,nerve-tumor",oligodendrocyte,tam,0.0011279637904067,0.0027755453325491,4,3,0.0,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box],"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",,full,True,oligodendrocyte (QC-passing)
39,63,INSR|NAMPT,1_approved_available,immune-nerve,oligodendrocyte,"microglia,tam",0.0032870620410487,0.0045153716758768,11,11,0.0,"INSR: INSULIN ASPART; INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN [black-box]; INSULIN HUMAN ZINC; INSULIN HUMAN, ISOPHANE; INSULIN ICODEC; INSULIN LISPRO; INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE BEEF; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL; INSULIN, PROTAMINE ZINC | NAMPT: [clinical] DAPORINAD; TEGLARINAD CHLORIDE",,,full,True,oligodendrocyte (QC-passing)
42,37,EGFR|MIF,1_approved_available,"immune-tumor,nerve-tumor",oligodendrocyte,"t_cell,tam",0.0035457682417462,0.002177701245874,7,8,0.0,EGFR: AFATINIB DIMALEATE; BRIGATINIB; CETUXIMAB [black-box]; DACOMITINIB; DACOMITINIB ANHYDROUS; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB DITOSYLATE [black-box]; NECITUMUMAB [black-box]; NERATINIB; NERATINIB MALEATE; OLMUTINIB; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB [black-box] | MIF: [clinical] IGURATIMOD; IMALUMAB,"afatinib (6: NCT00977431, NCT02465060, NCT00727506) | depatuxizumab (6: NCT02365662, NCT03419403, NCT01800695)",,full,True,oligodendrocyte (QC-passing)
43,55,FN1|MAG,1_approved_available,immune-nerve,oligodendrocyte,"microglia,tam",0.0037481895169293,0.0035274457008685,6,5,0.0,FN1: OCRIPLASMIN | MAG: [clinical] REFANEZUMAB,,,full,True,oligodendrocyte (QC-passing)
